"","",""
"Abies","fir","TN(Carter, Sevier)"
"Ranunculus","buttercup","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Ranunculus abortivus","littleleaf buttercup","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Cannon, Carter, Cheatham, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Humphreys, Jackson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Marion, McMinn, McNairy, Meigs, Monroe, Montgomery, Obion, Overton, Perry, Polk, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Union, Van Buren, Wayne, Weakley, Williamson, Wilson)"
"Ranunculus acris","tall buttercup","TN(Cocke, Fentress, Franklin, Greene, Sevier)"
"Ranunculus acris var. acris","showy buttercup","TN(Cocke, Fentress, Franklin, Greene, Sevier)"
"Ranunculus allegheniensis","Allegheny Mountain buttercup","TN(Carter, Hawkins, Morgan, Unicoi)"
"Ranunculus ambigens","waterplantain spearwort","TN(Haywood, Henry, Johnson, Putnam, Scott, Sumner, White)"
"Ranunculus arvensis","corn buttercup","TN(Shelby)"
"Ranunculus bulbosus","St. Anthony's turnip","TN(Anderson, Bledsoe, Campbell, Carter, Claiborne, Cocke, Fentress, Hamilton, Hawkins, Jackson, Knox, Loudon, Meigs, Montgomery, Roane, Rutherford, Unicoi, Washington)"
"Ranunculus fascicularis","early buttercup","TN(Bradley, Campbell, Claiborne, Clay, Davidson, Franklin, Giles, Hamilton, Hancock, Hardin, Jackson, Jefferson, Knox, Lauderdale, Loudon, Marshall, Meigs, Monroe, Montgomery, Morgan, Overton, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Williamson, Wilson)"
"Ranunculus ficaria","fig buttercup","TN(Knox)"
"Ranunculus ficaria var. bulbifera","fig buttercup","TN(Knox)"
"Ranunculus flabellaris","yellow water buttercup","TN(Coffee, Grundy, Lake, Montgomery, Obion, Robertson)"
"Ranunculus harveyi","Harvey's buttercup","TN(Cheatham, Davidson, Hamblen, Polk, Robertson, Rutherford, Sevier, Sumner)"
"Ranunculus hispidus","bristly buttercup","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fentress, Franklin, Grainger, Grundy, Hamblen, Hamilton, Hardin, Hawkins, Hickman, Houston, Humphreys, Jackson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Marion, Maury, McMinn, Meigs, Monroe, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Roane, Robertson, Rutherford, Scott, Sevier, Smith, Stewart, Sumner, Unicoi, Union, Van Buren, Warren, White)"
"Ranunculus hispidus var. nitidus","bristly buttercup","TN(Anderson, Blount, Campbell, Cannon, Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, Dyer, Fentress, Franklin, Hawkins, Hickman, Jackson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Marion, McMinn, Meigs, Montgomery, Morgan, Roane, Robertson, Rutherford, Scott, Sevier, Smith, Stewart, Sumner)"
"Ranunculus laxicaulis","Mississippi buttercup","TN(Blount, Coffee, Henry, Robertson)"
"Ranunculus longirostris","longbeak buttercup","TN(Davidson, Montgomery, Robertson)"
"Ranunculus micranthus","rock buttercup","TN(Cannon, Cheatham, Clay, Davidson, DeKalb, Dickson, Giles, Hardin, Hickman, Humphreys, Jackson, Lewis, Lincoln, Macon, Marshall, Maury, Montgomery, Moore, Putnam, Robertson, Rutherford, Shelby, Smith, Stewart, Sumner, Williamson, Wilson)"
"Ranunculus parviflorus","smallflower buttercup","TN(Bedford, Benton, Blount, Campbell, Cannon, Cheatham, Clay, Coffee, Davidson, Dickson, Franklin, Giles, Grainger, Grundy, Hamilton, Hardeman, Hardin, Henderson, Henry, Jackson, Jefferson, Knox, Lauderdale, Lewis, Lincoln, Marion, Marshall, McNairy, Meigs, Montgomery, Morgan, Obion, Rhea, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Wayne, Wilson)"
"Ranunculus pusillus","low spearwort","TN(Benton, Blount, Carroll, Carter, Cocke, Davidson, Dyer, Fayette, Franklin, Gibson, Grundy, Hardin, Haywood, Henderson, Henry, Hickman, Humphreys, Jackson, Lauderdale, Marion, Maury, McNairy, Monroe, Montgomery, Obion, Perry, Roane, Robertson, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton)"
"Ranunculus pusillus var. pusillus","low spearwort","TN(Benton, Blount, Carroll, Carter, Cocke, Davidson, Dyer, Fayette, Franklin, Gibson, Grundy, Hardin, Haywood, Henderson, Henry, Hickman, Humphreys, Jackson, Lauderdale, Marion, Maury, McNairy, Monroe, Montgomery, Obion, Perry, Roane, Robertson, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton)"
"Ranunculus recurvatus","blisterwort","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Clay, Cocke, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Franklin, Giles, Grainger, Grundy, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Jackson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Van Buren, Wayne, White, Williamson)"
"Ranunculus recurvatus var. recurvatus","blisterwort","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Clay, Cocke, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Franklin, Giles, Grainger, Grundy, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Jackson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Van Buren, Wayne, White, Williamson)"
"Ranunculus repens","creeping buttercup","TN(Johnson)"
"Ranunculus sardous","hairy buttercup","TN(Bedford, Bradley, Campbell, Cannon, Cheatham, Claiborne, Clay, Coffee, Davidson, Dickson, Hamilton, Hardeman, Haywood, Henry, Houston, Jackson, Knox, Lake, Lauderdale, Lewis, Loudon, Marshall, Maury, Meigs, Montgomery, Obion, Overton, Perry, Pickett, Robertson, Rutherford, Sequatchie, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Williamson, Wilson)"
"Ranunculus sceleratus","cursed buttercup","TN(Hamblen, Jackson, Knox, Marion, Montgomery, Obion, Roane, Washington)"
"Ranunculus sceleratus var. sceleratus","cursed buttercup","TN(Hamblen, Jackson, Knox, Marion, Montgomery, Obion, Roane, Washington)"
"Ranunculus trichophyllus","threadleaf crowfoot","TN(Montgomery)"
"Ranunculus trichophyllus var. trichophyllus","threadleaf crowfoot","TN(Montgomery)"
"Raphanus","radish","TN(Davidson, Hawkins, Johnson, Knox, Lauderdale, Monroe, Montgomery, Rutherford, Stewart)"
"Raphanus raphanistrum","wild radish","TN(Davidson, Hawkins, Johnson, Lauderdale, Monroe, Rutherford, Stewart)"
"Raphanus sativus","cultivated radish","TN(Knox, Montgomery)"
"Rapistrum","bastardcabbage","TN(Roane)"
"Rapistrum rugosum","annual bastardcabbage","TN(Roane)"
"Ratibida","prairie coneflower","TN(Anderson, Bledsoe, Clay, Davidson, Franklin, Grundy, Hamilton, Hardin, Jackson, Knox, Lewis, Loudon, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Roane, Rutherford, Union, Warren, Wayne, White, Williamson, Wilson)"
"Ratibida columnifera","upright prairie coneflower","TN(Davidson)"
"Ratibida pinnata","pinnate prairie coneflower","TN(Anderson, Bledsoe, Clay, Davidson, Franklin, Grundy, Hamilton, Hardin, Jackson, Knox, Lewis, Loudon, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Roane, Rutherford, Union, Warren, Wayne, White, Williamson, Wilson)"
"Rhamnus","buckthorn","TN(Campbell, Claiborne, Davidson, Giles, Marshall, Maury, Rutherford, Williamson, Wilson)"
"Rhamnus alnifolia","alderleaf buckthorn","TN(Campbell, Claiborne)"
"Rhamnus lanceolata","lanceleaf buckthorn","TN(Claiborne, Davidson, Giles, Marshall, Maury, Rutherford, Williamson, Wilson)"
"Rhexia","meadowbeauty","TN(Anderson, Benton, Bledsoe, Blount, Carroll, Carter, Cheatham, Chester, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Gibson, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Knox, Lawrence, Lewis, Lincoln, Macon, Madison, Marion, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Shelby, Stewart, Sumner, Unicoi, Van Buren, Warren, Wayne, Weakley, White)"
"Rhexia mariana","Maryland meadowbeauty","TN(Anderson, Benton, Bledsoe, Blount, Carroll, Chester, Cocke, Coffee, Cumberland, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Gibson, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Lawrence, Lewis, Lincoln, Madison, Marion, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Polk, Putnam, Rhea, Robertson, Scott, Sequatchie, Shelby, Stewart, Van Buren, Warren, Wayne, Weakley, White)"
"Rhexia mariana var. interior","Maryland meadowbeauty","TN(Benton, Carroll, Chester, Decatur, Hardin, Henderson, Henry, McNairy, Obion, Shelby, Stewart, Wayne, Weakley)"
"Rhexia mariana var. mariana","Maryland meadowbeauty","TN(Anderson, Benton, Bledsoe, Blount, Chester, Cocke, Coffee, Cumberland, DeKalb, Dickson, Fayette, Fentress, Franklin, Gibson, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henry, Hickman, Lawrence, Lewis, Lincoln, Madison, Marion, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Polk, Putnam, Rhea, Robertson, Scott, Sequatchie, Shelby, Van Buren, Warren, Wayne, White)"
"Rhexia virginica","handsome Harry","TN(Anderson, Benton, Bledsoe, Blount, Carroll, Carter, Cheatham, Chester, Clay, Coffee, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Gibson, Grundy, Hardin, Henderson, Knox, Lawrence, Lincoln, Macon, Madison, Marion, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Polk, Putnam, Rhea, Roane, Robertson, Scott, Shelby, Stewart, Sumner, Unicoi, Van Buren, Warren, Wayne, White)"
"Rhododendron","rhododendron","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Fentress, Franklin, Grainger, Greene, Grundy, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henderson, Hickman, Humphreys, Jackson, Jefferson, Johnson, Knox, Lawrence, Lewis, Lincoln, Loudon, Madison, Marion, Maury, McMinn, McNairy, Meigs, Monroe, Moore, Morgan, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Smith, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson)"
"Rhododendron alabamense","Alabama azalea","TN(Cheatham, Davidson, Grundy, Hamilton, Hickman, Humphreys, Lewis, Maury, Robertson, Rutherford, Wayne)"
"Rhododendron arborescens","smooth azalea","TN(Bledsoe, Blount, Cocke, Crockett, Cumberland, DeKalb, Fentress, Grundy, Hamilton, Marion, McMinn, McNairy, Monroe, Morgan, Overton, Polk, Putnam, Rhea, Scott, Sevier, Unicoi, Van Buren, Washington)"
"Rhododendron calendulaceum","flame azalea","TN(Blount, Carter, Cocke, Greene, Hawkins, Johnson, Monroe, Polk, Sevier, Sullivan, Unicoi)"
"Rhododendron canescens","mountain azalea","TN(Anderson, Benton, Bledsoe, Blount, Cannon, Carroll, Cheatham, Chester, Coffee, Cumberland, Davidson, DeKalb, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Henderson, Hickman, Jackson, Knox, Lawrence, Lewis, Lincoln, Loudon, Madison, Marion, Maury, McMinn, McNairy, Meigs, Moore, Overton, Perry, Pickett, Rhea, Sequatchie, Sumner, Union, Van Buren, Warren, White, Williamson)"
"Rhododendron catawbiense","Catawba rosebay","TN(Anderson, Blount, Carter, Cocke, Fentress, Grainger, Greene, Hamilton, Hawkins, Jefferson, Johnson, Marion, Monroe, Polk, Rhea, Sevier, Unicoi, Van Buren)"
"Rhododendron cumberlandense","Cumberland rhododendron","TN(Anderson, Bledsoe, Blount, Campbell, Claiborne, Cocke, Cumberland, Fentress, Grundy, Hamilton, Haywood, Jefferson, Morgan, Overton, Polk, Putnam, Rhea, Scott, Sevier, Union, Van Buren)"
"Rhododendron maximum","great laurel","TN(Anderson, Benton, Blount, Campbell, Carter, Claiborne, Cocke, Cumberland, Fentress, Greene, Grundy, Hamilton, Hancock, Hawkins, Johnson, Knox, Marion, Monroe, Overton, Pickett, Polk, Rhea, Scott, Sequatchie, Sevier, Smith, Unicoi, Union, Van Buren, Washington)"
"Rhododendron minus","piedmont rhododendron","TN(Blount, Carter, Greene, Loudon, Monroe, Polk, Roane, Sevier, Unicoi, Washington)"
"Rhododendron periclymenoides","pink azalea","TN(Anderson, Benton, Bledsoe, Blount, Carter, Cheatham, Claiborne, Coffee, Cumberland, Davidson, Decatur, Fentress, Franklin, Grainger, Hardeman, Hickman, Knox, Loudon, Marion, Maury, McMinn, Monroe, Morgan, Perry, Pickett, Polk, Roane, Scott, Sequatchie, Sevier, Union)"
"Rhododendron prinophyllum","early azalea","TN(Davidson, Franklin, Hickman, Lewis, White)"
"Rhododendron viscosum","swamp azalea","TN(Bledsoe, Blount, Fentress, Franklin, White)"
"Rhus","sumac","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardin, Hawkins, Haywood, Henry, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Pickett, Polk, Putnam, Roane, Rutherford, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Warren, Washington, White, Williamson, Wilson)"
"Rhus aromatica","fragrant sumac","TN(Anderson, Bedford, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Davidson, DeKalb, Decatur, Dickson, Franklin, Giles, Grainger, Grundy, Hamblen, Hamilton, Hancock, Hardin, Hawkins, Jackson, Knox, Lawrence, Lewis, Macon, Marion, Marshall, Maury, Meigs, Montgomery, Moore, Morgan, Pickett, Putnam, Roane, Rutherford, Sullivan, Sumner, Trousdale, Union, Van Buren, Warren, Washington, White, Williamson, Wilson)"
"Rhus aromatica var. aromatica","fragrant sumac","TN(Anderson, Bedford, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Davidson, DeKalb, Decatur, Dickson, Franklin, Giles, Grainger, Grundy, Hamblen, Hamilton, Hancock, Hardin, Hawkins, Jackson, Knox, Lawrence, Lewis, Macon, Marion, Marshall, Maury, Meigs, Montgomery, Moore, Morgan, Pickett, Putnam, Roane, Rutherford, Sullivan, Sumner, Trousdale, Union, Van Buren, Warren, Washington, White, Williamson, Wilson)"
"Rhus copallinum","winged sumac","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Coffee, Cumberland, Davidson, DeKalb, Dickson, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Henry, Houston, Johnson, Knox, Lauderdale, Loudon, Marion, Maury, Meigs, Montgomery, Morgan, Obion, Pickett, Polk, Putnam, Roane, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Williamson, Wilson)"
"Rhus copallinum var. latifolia","winged sumac","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Coffee, Cumberland, Davidson, DeKalb, Dickson, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Henry, Houston, Johnson, Knox, Lauderdale, Loudon, Marion, Maury, Meigs, Montgomery, Morgan, Obion, Pickett, Polk, Putnam, Roane, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Williamson, Wilson)"
"Rhus glabra","smooth sumac","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cheatham, Clay, Cumberland, Davidson, DeKalb, Dickson, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hardin, Haywood, Houston, Humphreys, Jefferson, Knox, Lauderdale, Lincoln, Marshall, McNairy, Montgomery, Obion, Polk, Roane, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Williamson, Wilson)"
"Rhus typhina","staghorn sumac","TN(Anderson, Bledsoe, Blount, Carroll, Davidson, Grundy, Johnson, Knox, Monroe, Morgan, Sevier, Smith, Sumner, Unicoi, Van Buren, Williamson)"
"Rhynchosia","snoutbean","TN(Bledsoe, Blount, Campbell, Chester, Decatur, Franklin, Greene, Hardin, Knox, Lewis, Marion, McNairy, Meigs, Morgan, Rhea, Roane, Scott, Sevier, White)"
"Rhynchosia difformis","doubleform snoutbean","TN(Greene)"
"Rhynchosia latifolia","prairie snoutbean","TN(Chester)"
"Rhynchosia reniformis","dollarleaf","TN(Knox)"
"Rhynchosia tomentosa","twining snoutbean","TN(Bledsoe, Blount, Campbell, Decatur, Franklin, Hardin, Knox, Lewis, Marion, McNairy, Meigs, Morgan, Rhea, Roane, Scott, Sevier, White)"
"Rhynchosia tomentosa var. tomentosa","twining snoutbean","TN(Bledsoe, Blount, Campbell, Decatur, Franklin, Hardin, Knox, Lewis, Marion, McNairy, Meigs, Morgan, Rhea, Roane, Scott, Sevier, White)"
"Rhynchospora","beaksedge","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Cheatham, Clay, Cocke, Coffee, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Houston, Johnson, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Madison, Marion, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Shelby, Stewart, Sumner, Unicoi, Van Buren, Warren, Wayne, Weakley, White)"
"Rhynchospora alba","white beaksedge","TN(Johnson)"
"Rhynchospora caduca","anglestem beaksedge","TN(Bradley, Coffee, Lewis)"
"Rhynchospora capillacea","needle beaksedge","TN(Campbell)"
"Rhynchospora capitellata","brownish beaksedge","TN(Benton, Bledsoe, Blount, Campbell, Cannon, Carroll, Cheatham, Clay, Cocke, Coffee, Cumberland, Dickson, Fentress, Franklin, Giles, Grundy, Hamilton, Henderson, Johnson, Lawrence, Lewis, Macon, Madison, Marion, Monroe, Montgomery, Morgan, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Stewart, Unicoi, Van Buren, Warren, Wayne, White)"
"Rhynchospora chalarocephala","loosehead beaksedge","TN(Coffee)"
"Rhynchospora corniculata","shortbristle horned beaksedge","TN(Benton, Cheatham, Coffee, Cumberland, Fayette, Franklin, Grundy, Hamilton, Hardin, Haywood, Henderson, Henry, Houston, Lauderdale, Lewis, Loudon, Madison, Marion, McNairy, Montgomery, Moore, Obion, Overton, Putnam, Robertson, Shelby, Stewart, Sumner, Warren, Weakley, White)"
"Rhynchospora globularis","globe beaksedge","TN(Coffee, Cumberland, Fentress, Franklin, Grundy, Hardin, Morgan, Van Buren, Warren)"
"Rhynchospora globularis var. globularis","globe beaksedge","TN(Coffee, Cumberland, Fentress, Franklin, Grundy, Hardin, Morgan, Van Buren, Warren)"
"Rhynchospora glomerata","clustered beaksedge","TN(Blount, Cocke, Coffee, Cumberland, Franklin, Grundy, Hardin, Henderson, Henry, Johnson, Lawrence, Lewis, Macon, Marion, Monroe, Moore, Putnam, Warren, Wayne, White)"
"Rhynchospora gracilenta","slender beaksedge","TN(Benton, Bledsoe, Coffee, Cumberland, Fentress, Franklin, Morgan, Putnam, White)"
"Rhynchospora harveyi","Harvey's beaksedge","TN(Coffee, Franklin, Scott)"
"Rhynchospora harveyi var. harveyi","Harvey's beaksedge","TN(Coffee, Franklin, Scott)"
"Rhynchospora latifolia","sandswamp whitetop","TN(Coffee)"
"Rhynchospora macrostachya","tall horned beaksedge","TN(Coffee, Franklin, Warren)"
