"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Trillium","trillium","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Trillium cernuum","whip-poor-will flower","WV(Jefferson, Ohio)"
"Trillium erectum","red trillium","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Trillium flexipes","nodding wakerobin","WV(Kanawha, Nicholas, Pleasants, Wetzel, Wood)"
"Trillium grandiflorum","white trillium","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Greenbrier, Hancock, Harrison, Lewis, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Trillium nivale","snow trillium","WV(Cabell, Grant, Pendleton, Preston, Randolph)"
"Trillium pusillum","dwarf wakerobin","WV(Pendleton)"
"Trillium pusillum var. virginianum","Virginia wakerobin","WV(Pendleton)"
"Trillium sessile","toadshade","WV(Berkeley, Boone, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Jefferson, Kanawha, Lincoln, Marion, Marshall, Mercer, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Raleigh, Summers, Upshur, Wayne, Wetzel, Wirt)"
"Trillium undulatum","painted trillium","WV(Barbour, Fayette, Grant, Greenbrier, McDowell, Mercer, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Wyoming)"
"Triosteum","horse-gentian","WV(Barbour, Berkeley, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lincoln, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Preston, Ritchie, Summers, Wayne, Webster, Wetzel, Wirt)"
"Triosteum angustifolium","yellowfruit horse-gentian","WV(Cabell, Hampshire, Jackson, Kanawha, Lincoln, Monongalia, Wayne)"
"Triosteum aurantiacum","orangefruit horse-gentian","WV(Barbour, Calhoun, Fayette, Greenbrier, Hardy, Kanawha, McDowell, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Ritchie, Summers, Wayne, Webster, Wetzel, Wirt)"
"Triosteum aurantiacum var. aurantiacum","orangefruit horse-gentian","WV(Barbour, Calhoun, Fayette, Greenbrier, Hardy, Kanawha, McDowell, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Ritchie, Summers, Wayne, Webster, Wetzel, Wirt)"
"Triosteum perfoliatum","feverwort","WV(Berkeley, Greenbrier, Hancock, Hardy, Mercer, Mineral, Preston, Wetzel)"
"Tripsacum","gamagrass","WV(Fayette, Grant, Hampshire, Harrison, Jackson, Raleigh)"
"Tripsacum dactyloides","eastern gamagrass","WV(Fayette, Grant, Hampshire, Harrison, Jackson, Raleigh)"
"Tsuga","hemlock","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, Marshall, McDowell, Mercer, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Tsuga canadensis","eastern hemlock","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, Marshall, McDowell, Mercer, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Tussilago","coltsfoot","WV(Barbour, Boone, Brooke, Fayette, Gilmer, Grant, Hancock, Hardy, Jefferson, Kanawha, Lewis, Marion, Marshall, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Randolph, Ritchie, Taylor, Tucker, Upshur, Wetzel, Wyoming)"
"Tussilago farfara","coltsfoot","WV(Barbour, Boone, Brooke, Fayette, Gilmer, Grant, Hancock, Hardy, Jefferson, Kanawha, Lewis, Marion, Marshall, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Randolph, Ritchie, Taylor, Tucker, Upshur, Wetzel, Wyoming)"
"Typha","cattail","WV(Barbour, Braxton, Brooke, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Mason, Mineral, Monongalia, Morgan, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wirt)"
"Typha angustifolia","narrowleaf cattail","WV(Fayette, Hampshire, Harrison, Kanawha, Morgan, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Tyler)"
"Typha latifolia","broadleaf cattail","WV(Barbour, Braxton, Brooke, Cabell, Calhoun, Fayette, Greenbrier, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Mason, Mineral, Monongalia, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wirt)"
"Ulex","gorse","WV(Randolph)"
"Ulex europaeus","common gorse","WV(Randolph)"
"Ulmus","elm","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Ulmus americana","American elm","WV(Berkeley, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Ulmus rubra","slippery elm","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Urtica","nettle","WV(Brooke, Greenbrier, Hancock, Jefferson, Marion, Marshall, McDowell, Mineral, Monongalia, Ohio, Pocahontas, Randolph, Summers)"
"Urtica dioica","stinging nettle","WV(Brooke, Greenbrier, Hancock, Jefferson, Marion, Marshall, McDowell, Mineral, Monongalia, Ohio, Pocahontas, Randolph, Summers)"
"Urtica dioica ssp. dioica","stinging nettle","WV(Greenbrier, Jefferson, Marion, Monongalia, Summers)"
"Urtica dioica ssp. gracilis","California nettle","WV(Brooke, Hancock, Marshall, McDowell, Mineral, Ohio, Pocahontas, Randolph)"
"Utricularia","bladderwort","WV(Fayette, Hardy, Jefferson, Mason, Pocahontas, Preston, Randolph, Wood)"
"Utricularia cornuta","horned bladderwort","WV(Pocahontas)"
"Utricularia geminiscapa","hiddenfruit bladderwort","WV(Hardy, Preston)"
"Utricularia gibba","humped bladderwort","WV(Fayette, Hardy, Mason, Randolph, Wood)"
"Utricularia macrorhiza","common bladderwort","WV(Jefferson, Randolph)"
"Uvularia","bellwort","WV(Barbour, Berkeley, Boone, Braxton, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Lincoln, Marion, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Uvularia grandiflora","largeflower bellwort","WV(Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hardy, Harrison, Kanawha, Lincoln, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wetzel, Wirt)"
"Uvularia perfoliata","perfoliate bellwort","WV(Barbour, Berkeley, Boone, Braxton, Cabell, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Jefferson, Kanawha, Lewis, Marion, Mineral, Mingo, Monongalia, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Uvularia puberula","mountain bellwort","WV(Fayette, Greenbrier, Hampshire, Hardy, Marion, McDowell, Mercer, Mineral, Raleigh, Randolph, Summers, Tucker, Wyoming)"
"Uvularia sessilifolia","sessileleaf bellwort","WV(Berkeley, Fayette, Grant, Hampshire, Harrison, McDowell, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Raleigh, Randolph, Summers, Upshur, Wirt)"
"Vaccaria","soapwort","WV(Monongalia, Pleasants, Upshur)"
"Vaccaria hispanica","cow soapwort","WV(Monongalia, Pleasants, Upshur)"
"Vaccinium","blueberry","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Vaccinium angustifolium","lowbush blueberry","WV(Grant, Greenbrier, Hampshire, Hancock, Hardy, Marion, Mineral, Monongalia, Monroe, Morgan, Pendleton, Pocahontas, Preston, Randolph, Taylor, Tucker, Wyoming)"
"Vaccinium corymbosum","highbush blueberry","WV(Mineral, Nicholas, Pendleton, Pocahontas, Tucker, Webster, Wirt)"
"Vaccinium erythrocarpum","southern mountain cranberry","WV(Grant, Greenbrier, Mercer, Monongalia, Pendleton, Pocahontas, Preston, Randolph, Summers, Tucker)"
"Vaccinium macrocarpon","cranberry","WV(Nicholas)"
"Vaccinium myrtilloides","velvetleaf huckleberry","WV(Fayette, Grant, Hampshire, Monroe, Pendleton, Pocahontas, Preston, Randolph, Tucker)"
"Vaccinium oxycoccos","small cranberry","WV(Grant, Tucker)"
"Vaccinium pallidum","Blue Ridge blueberry","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Vaccinium stamineum","deerberry","WV(Morgan)"
"Valeriana","valerian","WV(Barbour, Brooke, Doddridge, Gilmer, Hancock, Jackson, Kanawha, Logan, Marshall, Mingo, Monongalia, Ohio, Ritchie, Tyler, Webster, Wetzel, Wirt)"
"Valeriana officinalis","garden valerian","WV(Barbour, Webster)"
"Valeriana pauciflora","largeflower valerian","WV(Brooke, Doddridge, Gilmer, Hancock, Jackson, Kanawha, Logan, Marshall, Mingo, Monongalia, Ohio, Ritchie, Tyler, Wetzel, Wirt)"
"Valerianella","cornsalad","WV(Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Hampshire, Hardy, Jackson, Jefferson, Kanawha, Lewis, Marion, Mineral, Monongalia, Monroe, Pleasants, Pocahontas, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Upshur, Wetzel, Wirt)"
"Valerianella chenopodiifolia","goosefoot cornsalad","WV(Brooke, Fayette, Monongalia, Taylor)"
"Valerianella locusta","Lewiston cornsalad","WV(Calhoun, Fayette, Gilmer, Hampshire, Hardy, Jackson, Jefferson, Kanawha, Marion, Pleasants, Pocahontas, Raleigh, Ritchie, Roane, Summers, Wetzel, Wirt)"
"Valerianella radiata","beaked cornsalad","WV(Braxton, Kanawha, Lewis, Mineral, Monroe, Upshur, Wetzel, Wirt)"
"Valerianella umbilicata","navel cornsalad","WV(Brooke, Cabell, Fayette, Gilmer, Kanawha, Monongalia, Pocahontas, Putnam, Ritchie, Upshur, Wirt)"
"Vallisneria","eelgrass","WV(Barbour, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Marion, Monongalia, Ohio, Pocahontas, Preston, Raleigh, Tucker, Webster)"
"Vallisneria americana","American eelgrass","WV(Barbour, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Marion, Monongalia, Ohio, Pocahontas, Preston, Raleigh, Tucker, Webster)"
"Veratrum","false hellebore","WV(Fayette, Grant, Greenbrier, Hampshire, Hardy, Jefferson, McDowell, Mercer, Mineral, Monroe, Pendleton, Pocahontas, Preston, Randolph, Summers, Tucker, Webster, Wyoming)"
"Veratrum hybridum","slender bunchflower","WV(Greenbrier, Hampshire, McDowell, Mercer, Pocahontas, Randolph)"
"Veratrum parviflorum","Appalachian bunchflower","WV(Fayette, Greenbrier, Hardy, Monroe, Pendleton, Pocahontas, Summers)"
"Veratrum virginicum","Virginia bunchflower","WV(Greenbrier, Hardy, Mercer, Webster)"
"Veratrum viride","green false hellebore","WV(Fayette, Grant, Greenbrier, Hampshire, Jefferson, Mineral, Pocahontas, Preston, Randolph, Tucker, Wyoming)"
"Verbascum","mullein","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Verbascum blattaria","moth mullein","WV(Barbour, Berkeley, Braxton, Calhoun, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Tucker, Wayne, Wetzel, Wirt, Wyoming)"
"Verbascum phlomoides","orange mullein","WV(Berkeley, Hampshire, Hardy, Pocahontas)"
"Verbascum thapsus","common mullein","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Verbena","vervain","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Verbena bracteata","bigbract verbena","WV(Hampshire, Monongalia, Pocahontas)"
"Verbena hastata","swamp verbena","WV(Brooke, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Marion, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Webster, Wetzel, Wyoming)"
"Verbena hastata var. hastata","swamp verbena","WV(Brooke, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Marion, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Webster, Wetzel, Wyoming)"
"Verbena officinalis","herb of the cross","WV(Pocahontas, Preston)"
"Verbena officinalis var. officinalis","herb of the cross","WV(Pocahontas, Preston)"
"Verbena simplex","narrowleaf vervain","WV(Berkeley, Fayette, Grant, Hampshire, Hardy, Jefferson, Kanawha, Mineral, Morgan)"
"Verbena stricta","hoary verbena","WV(Pocahontas)"
"Verbena urticifolia","white vervain","WV(Barbour, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Verbena urticifolia var. leiocarpa","white vervain","WV(Barbour, Braxton, Calhoun, Clay, Greenbrier, Hardy, Harrison, Kanawha, Marion, Monongalia, Ohio, Pendleton, Preston, Randolph, Ritchie, Summers, Upshur, Wayne, Wetzel, Wirt)"
"Verbena urticifolia var. urticifolia","white vervain","WV(Brooke, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Jackson, Lewis, Marshall, Mason, McDowell, Mercer, Mineral, Morgan, Nicholas, Pocahontas, Preston, Raleigh, Roane, Summers, Taylor, Tucker, Tyler, Wayne, Webster, Wood, Wyoming)"
"Verbesina","crownbeard","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Harrison, Jackson, Kanawha, Lewis, Lincoln, Logan, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Verbesina alternifolia","wingstem","WV(Barbour, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Harrison, Jackson, Lewis, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Verbesina occidentalis","yellow crownbeard","WV(Boone, Braxton, Clay, Fayette, Gilmer, Hampshire, Jackson, Kanawha, Lincoln, Logan, Mercer, Raleigh, Summers, Upshur, Wayne, Wyoming)"
"Vernonia","ironweed","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Vernonia gigantea","giant ironweed","WV(Braxton, Brooke, Calhoun, Doddridge, Fayette, Gilmer, Hancock, Harrison, Kanawha, Lewis, Marshall, Mineral, Monongalia, Ohio, Pleasants, Pocahontas, Preston, Randolph, Ritchie, Roane, Taylor, Tyler, Upshur, Wetzel, Wirt, Wood)"
"Vernonia gigantea ssp. gigantea","giant ironweed","WV(Braxton, Brooke, Calhoun, Doddridge, Fayette, Gilmer, Hancock, Harrison, Kanawha, Lewis, Marshall, Mineral, Monongalia, Ohio, Pleasants, Pocahontas, Preston, Randolph, Ritchie, Roane, Taylor, Tyler, Upshur, Wetzel, Wirt, Wood)"
"Vernonia glauca","broadleaf ironweed","WV(Berkeley, Fayette)"
"Vernonia noveboracensis","New York ironweed","WV(Barbour, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Lewis, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Wyoming)"
"Veronica","speedwell","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Veronica americana","American speedwell","WV(Brooke, Cabell, Grant, Greenbrier, Hampshire, Hancock, Hardy, Marshall, Mercer, Mineral, Monongalia, Ohio, Pendleton, Pocahontas, Preston, Randolph, Summers, Tucker, Webster, Wetzel, Wood, Wyoming)"
"Veronica anagallis-aquatica","water speedwell","WV(Berkeley, Grant, Hampshire, Hardy, Jefferson, Mason, McDowell, Mineral, Pendleton, Pocahontas, Raleigh, Summers, Tucker, Wyoming)"
"Veronica arvensis","corn speedwell","WV(Boone, Braxton, Calhoun, Fayette, Gilmer, Grant, Hampshire, Harrison, Jackson, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Ritchie, Summers, Tyler, Upshur, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Veronica beccabunga","European speedwell","WV(Jackson, Jefferson, Wood)"
"Veronica chamaedrys","germander speedwell","WV(Hampshire, Monongalia, Raleigh, Randolph)"
"Veronica filiformis","threadstalk speedwell","WV(Fayette, Kanawha, Lewis, Ritchie, Upshur, Webster)"
"Veronica hederifolia","ivyleaf speedwell","WV(Hampshire, Jefferson, Wetzel)"
"Veronica officinalis","common gypsyweed","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mineral, Mingo, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
