"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Sophora nuttalliana","silky sophora","OK(Alfalfa, Beaver, Blaine, Cimarron, Custer, Dewey, Ellis, Grady, Greer, Harper, Jackson, Kay, Kingfisher, Logan, Major, McClain, Oklahoma, Payne, Roger Mills, Texas, Woods, Woodward)"
"Sorghastrum","Indiangrass","OK(Beaver, Bryan, Carter, Cimarron, Cleveland, Comanche, Craig, Creek, Delaware, Greer, Harper, Johnston, Kay, Lincoln, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Texas, Tulsa, Woods)"
"Sorghastrum nutans","Indiangrass","OK(Beaver, Bryan, Carter, Cimarron, Cleveland, Comanche, Craig, Creek, Delaware, Greer, Harper, Johnston, Kay, Lincoln, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Texas, Tulsa, Woods)"
"Sorghum","sorghum","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Custer, Dewey, Garfield, Grady, Grant, Greer, Harmon, Jackson, Kay, Kingfisher, Logan, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Payne, Pottawatomie, Stephens, Texas, Tulsa, Woods)"
"Sorghum halepense","Johnsongrass","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Custer, Dewey, Garfield, Grady, Grant, Greer, Harmon, Jackson, Kay, Kingfisher, Logan, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Payne, Pottawatomie, Stephens, Texas, Tulsa, Woods)"
"Sparganium","bur-reed","OK(Alfalfa, Cherokee, Le Flore, Ottawa)"
"Sparganium eurycarpum","broadfruit bur-reed","OK(Alfalfa, Cherokee, Le Flore, Ottawa)"
"Spartina","cordgrass","OK(Alfalfa, Beaver, Canadian, Cleveland, Cotton, Craig, Grady, Grant, Harper, McClain, Muskogee, Oklahoma, Ottawa, Payne, Washington, Woodward)"
"Spartina pectinata","prairie cordgrass","OK(Alfalfa, Beaver, Canadian, Cleveland, Cotton, Craig, Grady, Grant, Harper, McClain, Muskogee, Oklahoma, Ottawa, Payne, Washington, Woodward)"
"Spermacoce","false buttonweed","OK(Bryan, Cleveland, Latimer, McCurtain, Muskogee, Tulsa)"
"Spermacoce glabra","smooth false buttonweed","OK(Bryan, Cleveland, Latimer, McCurtain, Muskogee, Tulsa)"
"Spermolepis","scaleseed","OK(Adair, Alfalfa, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Ellis, Grady, Greer, Harper, Haskell, Hughes, Jackson, Johnston, Kingfisher, Lincoln, Logan, Love, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Woodward)"
"Spermolepis divaricata","roughfruit scaleseed","OK(Adair, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Comanche, Creek, Grady, Haskell, Kingfisher, Lincoln, Marshall, McCurtain, Muskogee, Oklahoma, Pontotoc, Pushmataha, Seminole, Sequoyah, Tulsa)"
"Spermolepis echinata","bristly scaleseed","OK(Alfalfa, Blaine, Caddo, Canadian, Cleveland, Comanche, Ellis, Grady, Greer, Hughes, Kingfisher, Lincoln, Logan, Marshall, McClain, Muskogee, Oklahoma, Payne, Roger Mills, Stephens, Woodward)"
"Spermolepis inermis","Red River scaleseed","OK(Adair, Alfalfa, Blaine, Caddo, Carter, Cherokee, Cleveland, Coal, Comanche, Custer, Delaware, Harper, Jackson, Johnston, Kingfisher, Logan, Love, Major, Marshall, McCurtain, Murray, Oklahoma, Osage, Payne, Pottawatomie, Pushmataha, Sequoyah, Tulsa, Wagoner, Woodward)"
"Sphaeralcea","globemallow","OK(Alfalfa, Beaver, Blaine, Cimarron, Cleveland, Comanche, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Major, Oklahoma, Payne, Roger Mills, Stephens, Texas, Tillman, Woods, Woodward)"
"Sphaeralcea angustifolia","copper globemallow","OK(Cimarron, Kiowa)"
"Sphaeralcea coccinea","scarlet globemallow","OK(Alfalfa, Beaver, Blaine, Cimarron, Cleveland, Comanche, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Major, Oklahoma, Payne, Roger Mills, Stephens, Texas, Tillman, Woods, Woodward)"
"Sphaeralcea coccinea ssp. coccinea","scarlet globemallow","OK(Alfalfa, Beaver, Blaine, Cimarron, Cleveland, Comanche, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Major, Oklahoma, Payne, Roger Mills, Stephens, Texas, Tillman, Woods, Woodward)"
"Sphenoclea","sphenoclea","OK(McCurtain)"
"Sphenoclea zeylanica","chickenspike","OK(McCurtain)"
"Sphenopholis","wedgescale","OK(Alfalfa, Atoka, Beaver, Beckham, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Delaware, Grady, Kingfisher, Kiowa, Latimer, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Okfuskee, Osage, Ottawa, Rogers, Seminole, Texas, Washington, Woods)"
"Sphenopholis intermedia","slender wedgescale","OK(Bryan, Caddo, Delaware, Mayes, Rogers)"
"Sphenopholis obtusata","prairie wedgescale","OK(Alfalfa, Atoka, Beaver, Beckham, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Grady, Kingfisher, Kiowa, Latimer, Logan, Major, Marshall, McClain, Murray, Muskogee, Okfuskee, Osage, Ottawa, Rogers, Seminole, Texas, Washington, Woods)"
"Spiranthes","lady's tresses","OK(Adair, Atoka, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Delaware, Ellis, Garvin, Grady, Greer, Harper, Haskell, Hughes, Jefferson, Johnston, Kay, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Woods)"
"Spiranthes cernua","nodding lady's tresses","OK(Adair, Atoka, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Craig, Delaware, Ellis, Garvin, Grady, Greer, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, Marshall, McClain, McCurtain, McIntosh, Murray, Muskogee, Nowata, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pushmataha, Rogers, Seminole, Sequoyah, Stephens, Woods)"
"Spiranthes lacera","northern slender lady's tresses","OK(Adair, Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Craig, Creek, Delaware, Garvin, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah)"
"Spiranthes lacera var. gracilis","northern slender lady's tresses","OK(Atoka, Bryan, Caddo, Cherokee, Coal, Creek, Delaware, Grady, Johnston, Latimer, Le Flore, Lincoln, Mayes, McClain, McCurtain, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Sequoyah)"
"Spiranthes magnicamporum","Great Plains lady's tresses","OK(Atoka, Caddo, Canadian, Carter, Choctaw, Comanche, Cotton, Garvin, Jefferson, Murray, Stephens)"
"Spiranthes odorata","marsh lady's tresses","OK(Choctaw)"
"Spiranthes ovalis","October lady's tresses","OK(Choctaw, Latimer, Le Flore, McCurtain, Oklahoma, Pushmataha)"
"Spiranthes ovalis var. erostellata","October lady's tresses","OK(Choctaw, Latimer, Le Flore, McCurtain, Oklahoma, Pushmataha)"
"Spiranthes praecox","greenvein lady's tresses","OK(Choctaw, McCurtain)"
"Spiranthes tuberosa","little lady's tresses","OK(Adair, Atoka, Bryan, Carter, Cherokee, Choctaw, Cleveland, Coal, Delaware, Haskell, Latimer, Le Flore, McCurtain, Muskogee, Osage, Ottawa, Pottawatomie, Pushmataha, Sequoyah)"
"Spiranthes vernalis","spring lady's tresses","OK(Adair, Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Creek, Delaware, Garvin, Grady, Harper, Haskell, Hughes, Johnston, Kay, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner)"
"Spirodela","duckmeat","OK(Beaver, Bryan, Cimarron, Cleveland, Johnston, Love, Muskogee, Woods)"
"Spirodela polyrrhiza","common duckmeat","OK(Beaver, Bryan, Cimarron, Cleveland, Johnston, Love, Muskogee, Woods)"
"Sporobolus","dropseed","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Cotton, Craig, Custer, Delaware, Ellis, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Johnston, Kingfisher, Kiowa, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pushmataha, Roger Mills, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Sporobolus airoides","alkali sacaton","OK(Alfalfa, Beckham, Cimarron, Comanche, Cotton, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Major, Payne, Texas, Washita, Woods, Woodward)"
"Sporobolus clandestinus","rough dropseed","OK(Cleveland, Hughes, Logan, Major, Murray, Oklahoma, Osage, Payne, Pontotoc, Sequoyah)"
"Sporobolus compositus","composite dropseed","OK(Alfalfa, Beaver, Bryan, Caddo, Cimarron, Cleveland, Comanche, Craig, Ellis, Harper, Hughes, Johnston, Kiowa, Logan, Major, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Sequoyah, Texas, Woods, Woodward)"
"Sporobolus compositus var. compositus","composite dropseed","OK(Alfalfa, Bryan, Caddo, Cimarron, Cleveland, Comanche, Craig, Harper, Hughes, Johnston, Kiowa, Logan, Major, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Sequoyah, Texas, Woods, Woodward)"
"Sporobolus compositus var. drummondii","Drummond's dropseed","OK(Beaver, Ellis, Kiowa)"
"Sporobolus contractus","spike dropseed","OK(Cleveland)"
"Sporobolus cryptandrus","sand dropseed","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Cotton, Custer, Grady, Grant, Greer, Harmon, Harper, Jackson, Johnston, Kingfisher, Kiowa, Logan, Major, Marshall, Mayes, McClain, Oklahoma, Payne, Roger Mills, Sequoyah, Stephens, Texas, Tillman, Washita, Woods)"
"Sporobolus giganteus","giant dropseed","OK(Beaver, Woods)"
"Sporobolus heterolepis","prairie dropseed","OK(Bryan, Delaware, Osage)"
"Sporobolus junceus","pineywoods dropseed","OK(Pushmataha)"
"Sporobolus neglectus","puffsheath dropseed","OK(Cleveland, Comanche, Logan, McClain, Murray, Oklahoma, Osage, Payne, Tulsa, Wagoner)"
"Sporobolus pyramidatus","Madagascar dropseed","OK(Carter, Cleveland, Comanche, Grant, Muskogee, Payne, Tillman, Wagoner)"
"Sporobolus texanus","Texas dropseed","OK(Alfalfa, Cleveland, Grady, Harmon, Harper, Jackson, Logan, Payne, Woods)"
"Sporobolus vaginiflorus","poverty dropseed","OK(Adair, Carter, Cleveland, Comanche, Craig, Delaware, Haskell, Johnston, Kiowa, Mayes, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Sequoyah, Washington, Woods)"
"Sporobolus vaginiflorus var. vaginiflorus","poverty dropseed","OK(Adair, Carter, Cleveland, Comanche, Craig, Delaware, Haskell, Johnston, Kiowa, Mayes, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Sequoyah, Washington, Woods)"
"Stachys","hedgenettle","OK(Adair, Cherokee, Le Flore, McCurtain, Muskogee, Ottawa, Tulsa)"
"Stachys pilosa","hairy hedgenettle","OK(Le Flore, McCurtain)"
"Stachys pilosa var. pilosa","hairy hedgenettle","OK(Le Flore, McCurtain)"
"Stachys tenuifolia","smooth hedgenettle","OK(Adair, Cherokee, Muskogee, Ottawa, Tulsa)"
"Staphylea","bladdernut","OK(Adair, Cherokee, Craig, Le Flore, Mayes, McCurtain, Osage, Ottawa, Rogers, Tulsa, Wagoner)"
"Staphylea trifolia","American bladdernut","OK(Adair, Cherokee, Craig, Le Flore, Mayes, McCurtain, Osage, Ottawa, Rogers, Tulsa, Wagoner)"
"Stellaria","starwort","OK(Bryan, Cleveland, Creek, Delaware, Garfield, Grady, Greer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pottawatomie, Sequoyah, Tulsa, Woods)"
"Stellaria media","common chickweed","OK(Bryan, Cleveland, Creek, Delaware, Garfield, Grady, Greer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pottawatomie, Sequoyah, Tulsa, Woods)"
"Stellaria media ssp. media","common chickweed","OK(Bryan, Cleveland, Creek, Delaware, Garfield, Grady, Greer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pottawatomie, Sequoyah, Tulsa, Woods)"
"Stenaria","diamond-flowers","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Greer, Harmon, Haskell, Hughes, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Washita, Woods)"
"Stenaria nigricans","diamond-flowers","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Greer, Harmon, Haskell, Hughes, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Washita, Woods)"
"Stenaria nigricans var. nigricans","diamondflowers","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Greer, Harmon, Haskell, Hughes, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Washita, Woods)"
"Stenosiphon","stenosiphon","OK(Alfalfa, Beaver, Bryan, Cleveland, Custer, Garfield, Garvin, Grady, Greer, Harper, Johnston, Kingfisher, Kiowa, Logan, Major, McClain, Murray, Noble, Okfuskee, Oklahoma, Okmulgee, Payne, Pontotoc, Pottawatomie, Roger Mills, Stephens, Texas, Tillman, Washita, Woods)"
"Stenosiphon linifolius","false gaura","OK(Alfalfa, Beaver, Bryan, Cleveland, Custer, Garfield, Garvin, Grady, Greer, Harper, Johnston, Kingfisher, Kiowa, Logan, Major, McClain, Murray, Noble, Okfuskee, Oklahoma, Okmulgee, Payne, Pontotoc, Pottawatomie, Roger Mills, Stephens, Texas, Tillman, Washita, Woods)"
"Stephanomeria","wirelettuce","OK(Cimarron, Greer, Harper, Texas)"
"Stephanomeria pauciflora","brownplume wirelettuce","OK(Cimarron, Greer, Harper, Texas)"
"Stillingia","toothleaf","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Cleveland, Comanche, Custer, Dewey, Ellis, Garfield, Grady, Grant, Greer, Hughes, Jackson, Johnston, Kiowa, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Payne, Roger Mills, Tulsa, Washita, Woods, Woodward)"
"Stillingia sylvatica","queen's-delight","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Cleveland, Comanche, Custer, Dewey, Ellis, Garfield, Grady, Grant, Greer, Hughes, Jackson, Johnston, Kiowa, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Payne, Roger Mills, Tulsa, Washita, Woods, Woodward)"
"Stillingia sylvatica ssp. sylvatica","queen's-delight","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Cleveland, Comanche, Custer, Dewey, Ellis, Garfield, Grady, Grant, Greer, Hughes, Jackson, Johnston, Kiowa, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Payne, Roger Mills, Tulsa, Washita, Woods, Woodward)"
"Streptanthus","twistflower","OK(Caddo, Cherokee, Grady, Haskell, Latimer, Le Flore, McCurtain, Pittsburg, Pushmataha, Sequoyah, Woods, Woodward)"
"Streptanthus hyacinthoides","smooth jewelflower","OK(Caddo, Grady, Woods, Woodward)"
"Streptanthus maculatus","clasping jewelflower","OK(Cherokee, Haskell, Latimer, Le Flore, McCurtain, Pittsburg, Pushmataha, Sequoyah)"
"Streptanthus maculatus ssp. obtusifolius","clasping jewelflower","OK(Cherokee, Haskell, Latimer, Le Flore, McCurtain, Pittsburg, Pushmataha, Sequoyah)"
"Strophostyles","fuzzybean","OK(Adair, Alfalfa, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Comanche, Creek, Custer, Delaware, Garfield, Grady, Grant, Harper, Jefferson, Kay, Kingfisher, Kiowa, Logan, Love, Major, Marshall, McClain, McCurtain, Muskogee, Noble, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Sequoyah, Tulsa, Washington, Woods)"
"Strophostyles helvola","amberique-bean","OK(Adair, Bryan, Canadian, Carter, Cherokee, Choctaw, Cleveland, Comanche, Creek, Grady, Kingfisher, Logan, Marshall, McClain, McCurtain, Muskogee, Noble, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Sequoyah, Tulsa, Washington)"
"Strophostyles leiosperma","slickseed fuzzybean","OK(Alfalfa, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cleveland, Creek, Custer, Delaware, Garfield, Grady, Grant, Harper, Jefferson, Kay, Kingfisher, Kiowa, Logan, Love, Major, Marshall, McClain, McCurtain, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Roger Mills, Rogers, Sequoyah, Woods)"
"Stuckenia","pondweed","OK(Alfalfa, Beaver, Bryan, Carter, Johnston, Marshall)"
"Stuckenia pectinata","sago pondweed","OK(Alfalfa, Beaver, Bryan, Carter, Johnston, Marshall)"
"Stylisma","dawnflower","OK(Cleveland, Grant, Kingfisher, Logan, Major, Woods)"
"Stylisma pickeringii","Pickering's dawnflower","OK(Cleveland, Grant, Kingfisher, Logan, Major, Woods)"
"Stylisma pickeringii var. pattersonii","Patterson's dawnflower","OK(Cleveland, Grant, Kingfisher, Logan, Major, Woods)"
"Stylosanthes","pencilflower","OK(Adair, Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Craig, Creek, Delaware, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Washington)"
"Stylosanthes biflora","sidebeak pencilflower","OK(Adair, Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Craig, Creek, Delaware, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Washington)"
"Suaeda","seepweed","OK(Alfalfa, Cleveland, Grady, Jackson, Major, Tillman)"
"Suaeda calceoliformis","Pursh seepweed","OK(Alfalfa, Cleveland, Grady, Jackson, Tillman)"
"Suaeda suffrutescens","desert seepweed","OK(Major, Tillman)"
"Suaeda suffrutescens var. suffrutescens","desert seepweed","OK(Major, Tillman)"
"Suckleya","suckleya","OK(Cimarron, Texas)"
"Suckleya suckleyana","poison suckleya","OK(Cimarron, Texas)"
"Symphoricarpos","snowberry","OK(Alfalfa, Blaine, Caddo, Canadian, Carter, Cherokee, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Garfield, Grady, Haskell, Johnston, Kingfisher, Latimer, Le Flore, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa)"
"Symphoricarpos occidentalis","western snowberry","OK(Cimarron)"
"Symphoricarpos orbiculatus","coralberry","OK(Alfalfa, Blaine, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Garfield, Grady, Haskell, Johnston, Kingfisher, Latimer, Le Flore, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa)"
"Symphoricarpos palmeri","Palmer's snowberry","OK(Cimarron)"
"Symphyotrichum","aster","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Jackson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Washita, Woods, Woodward)"
"Symphyotrichum ciliatum","rayless alkali aster","OK(Cimarron)"
"Symphyotrichum divaricatum","southern annual saltmarsh aster","OK(Alfalfa, Beaver, Beckham, Bryan, Canadian, Cimarron, Cleveland, Comanche, Creek, Dewey, Grady, Grant, Greer, Harmon, Kay, Love, Marshall, McClain, Murray, Muskogee, Nowata, Oklahoma, Payne, Pontotoc, Pottawatomie, Tulsa, Woods, Woodward)"
"Symphyotrichum drummondii","Drummond's aster","OK(Adair, Bryan, Caddo, Cherokee, Cleveland, Delaware, Le Flore, Logan, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pottawatomie, Sequoyah, Tulsa, Wagoner)"
"Symphyotrichum drummondii var. drummondii","Drummond's aster","OK(Adair, Bryan, Caddo, Cherokee, Cleveland, Delaware, Le Flore, Logan, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pottawatomie, Sequoyah, Tulsa, Wagoner)"
