"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Ribes americanum","American black currant","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Towner, Traill, Ward, Williams)"
"Ribes aureum","golden currant","ND(Billings, Bowman, Burke, Divide, Golden Valley, Grant, Hettinger, McKenzie, Morton, Mountrail, Slope, Stark, Williams)"
"Ribes aureum var. villosum","golden currant","ND(Billings, Bowman, Burke, Divide, Golden Valley, Grant, Hettinger, McKenzie, Morton, Mountrail, Slope, Stark, Williams)"
"Ribes cereum","wax currant","ND(Billings, Bowman, Slope)"
"Ribes cereum var. pedicellare","whisky currant","ND(Billings, Bowman, Slope)"
"Ribes cynosbati","eastern prickly gooseberry","ND(Barnes, Cass, Ransom, Richland)"
"Ribes hirtellum","hairystem gooseberry","ND(Bottineau, Cavalier, Griggs, Mountrail, Pembina, Richland, Rolette, Sargent, Williams)"
"Ribes missouriense","Missouri gooseberry","ND(Barnes, Benson, Burleigh, Cass, Dunn, Grand Forks, Griggs, Kidder, McLean, Pembina, Ransom, Richland, Sargent, Steele, Stutsman, Traill, Walsh)"
"Ribes oxyacanthoides","Canadian gooseberry","ND(Benson, Billings, Bottineau, Bowman, Burke, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, Kidder, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Ramsey, Renville, Richland, Slope, Ward, Williams)"
"Ribes oxyacanthoides ssp. oxyacanthoides","Canadian gooseberry","ND(Benson, Billings, Bottineau, Bowman, Burke, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, Kidder, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Ramsey, Renville, Richland, Slope, Ward, Williams)"
"Ribes triste","red currant","ND(Bottineau, Cavalier, Griggs, Pembina, Rolette)"
"Rorippa","yellowcress","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Wells, Williams)"
"Rorippa austriaca","Austrian yellowcress","ND(Cass, Pembina, Ransom, Richland)"
"Rorippa calycina","persistent sepal yellowcress","ND(McKenzie)"
"Rorippa curvipes","bluntleaf yellowcress","ND(Benson, Bottineau, McHenry)"
"Rorippa curvipes var. truncata","bluntleaf yellowcress","ND(Benson, Bottineau, McHenry)"
"Rorippa palustris","bog yellowcress","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Steele, Stutsman, Towner, Ward, Wells, Williams)"
"Rorippa palustris ssp. fernaldiana","Fernald's yellowcress","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Steele, Stutsman, Towner, Ward, Wells, Williams)"
"Rorippa palustris ssp. hispida","hispid yellowcress","ND(Benson, Bottineau, Burke, Cavalier, Emmons, Kidder, Logan, Williams)"
"Rorippa sinuata","spreading yellowcress","ND(Adams, Billings, Bowman, Emmons, Grant, Hettinger, McKenzie, McLean, Morton, Sioux, Slope, Stark, Williams)"
"Rorippa sylvestris","creeping yellowcress","ND(Cass)"
"Rorippa tenerrima","Modoc yellowcress","ND(McLean, Oliver)"
"Rosa","rose","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Rosa acicularis","prickly rose","ND(Bottineau, Cavalier, Pembina, Ransom, Renville, Ward)"
"Rosa acicularis ssp. sayi","prickly rose","ND(Bottineau, Cavalier, Pembina, Ransom, Renville, Ward)"
"Rosa arkansana","prairie rose","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Rosa blanda","smooth rose","ND(Barnes, Benson, Cass, Cavalier, Dunn, Eddy, Grand Forks, Griggs, Kidder, McHenry, McIntosh, Nelson, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Slope, Stutsman, Walsh, Ward)"
"Rosa blanda var. blanda","smooth rose","ND(Barnes, Benson, Cass, Cavalier, Dunn, Eddy, Grand Forks, Griggs, Kidder, McHenry, McIntosh, Nelson, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Slope, Stutsman, Walsh, Ward)"
"Rosa woodsii","Woods' rose","ND(Adams, Billings, Bottineau, Bowman, Burke, Burleigh, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Rosa woodsii var. woodsii","Woods' rose","ND(Adams, Billings, Bottineau, Bowman, Burke, Burleigh, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Rubus","blackberry","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McKenzie, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Rubus idaeus","American red raspberry","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McKenzie, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Sargent, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Rubus idaeus ssp. strigosus","grayleaf red raspberry","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McKenzie, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Sargent, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Rubus occidentalis","black raspberry","ND(Emmons, Morton, Ransom, Richland)"
"Rubus pubescens","dwarf red blackberry","ND(Benson, Bottineau, Cass, Grand Forks, Griggs, Pembina, Ramsey, Ransom, Richland, Rolette)"
"Rubus pubescens var. pubescens","dwarf red blackberry","ND(Benson, Bottineau, Cass, Grand Forks, Griggs, Pembina, Ramsey, Ransom, Richland, Rolette)"
"Rudbeckia","coneflower","ND(Barnes, Benson, Bottineau, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Grand Forks, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, Morton, Nelson, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Traill, Walsh, Ward)"
"Rudbeckia hirta","blackeyed Susan","ND(Barnes, Benson, Bottineau, Burleigh, Cass, Dickey, Eddy, Emmons, Foster, Grand Forks, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, Morton, Nelson, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Stutsman, Traill, Walsh, Ward)"
"Rudbeckia hirta var. pulcherrima","blackeyed Susan","ND(Barnes, Benson, Bottineau, Burleigh, Cass, Dickey, Eddy, Emmons, Foster, Grand Forks, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, Morton, Nelson, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Stutsman, Traill, Walsh, Ward)"
"Rudbeckia laciniata","cutleaf coneflower","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Divide, Eddy, Foster, Grand Forks, Griggs, Kidder, Logan, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Traill, Walsh, Ward)"
"Rudbeckia laciniata var. laciniata","cutleaf coneflower","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Divide, Eddy, Foster, Grand Forks, Griggs, Kidder, Logan, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Traill, Walsh, Ward)"
"Rumex","dock","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Rumex acetosella","common sheep sorrel","ND(Billings, Bottineau, Cass, McHenry, Pembina, Richland, Stark, Stutsman)"
"Rumex aquaticus","western dock","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Eddy, Emmons, Foster, Grand Forks, Griggs, Kidder, Logan, McIntosh, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Rolette, Stutsman, Ward, Williams)"
"Rumex aquaticus var. fenestratus","western dock","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Eddy, Emmons, Foster, Grand Forks, Griggs, Kidder, Logan, McIntosh, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Rolette, Stutsman, Ward, Williams)"
"Rumex crispus","curly dock","ND(Barnes, Billings, Bowman, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ransom, Renville, Richland, Sargent, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Rumex crispus ssp. crispus","curly dock","ND(Barnes, Billings, Bowman, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ransom, Renville, Richland, Sargent, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Rumex longifolius","dooryard dock","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Nelson, Pembina, Ransom, Renville, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Williams)"
"Rumex maritimus","golden dock","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McHenry, McIntosh, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Rumex orbiculatus","greater water dock","ND(Cass, Hettinger, Oliver, Pembina, Ransom, Richland)"
"Rumex patientia","patience dock","ND(Eddy, McLean, Pierce)"
"Rumex salicifolius","willow dock","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Rumex salicifolius var. mexicanus","Mexican dock","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Rumex stenophyllus","narrowleaf dock","ND(Billings, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Grant, Kidder, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Richland, Slope, Stark, Walsh, Ward, Williams)"
"Rumex venosus","veiny dock","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Grand Forks, Grant, McKenzie, McLean, Mercer, Oliver, Sioux, Slope, Stark, Stutsman, Williams)"
"Ruppia","widgeonweed","ND(Bottineau, Burke, Dickey, Grand Forks, Kidder, McIntosh, Richland, Rolette, Sargent, Stutsman, Williams)"
"Ruppia cirrhosa","spiral ditchgrass","ND(Bottineau, Burke, Dickey, Grand Forks, Kidder, McIntosh, Richland, Rolette, Sargent, Stutsman, Williams)"
"Sagittaria","arrowhead","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Sagittaria cuneata","arumleaf arrowhead","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Sagittaria latifolia","broadleaf arrowhead","ND(Barnes, Cavalier, Dickey, Eddy, Foster, Grand Forks, Logan, McKenzie, Pembina, Ransom, Richland, Walsh, Ward, Williams)"
"Salicornia","pickleweed","ND(Barnes, Cavalier, Divide, Emmons, Grand Forks, Kidder, LaMoure, Mountrail, Pembina, Ramsey, Richland, Rolette, Sheridan, Stutsman, Traill, Walsh, Williams)"
"Salicornia rubra","red swampfire","ND(Barnes, Cavalier, Divide, Emmons, Grand Forks, Kidder, LaMoure, Mountrail, Pembina, Ramsey, Richland, Rolette, Sheridan, Stutsman, Traill, Walsh, Williams)"
"Salix","willow","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Salix alba","white willow","ND(Eddy, Pembina, Ransom, Richland, Sargent, Walsh)"
"Salix amygdaloides","peachleaf willow","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Salix bebbiana","Bebb willow","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, McHenry, McKenzie, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sioux, Slope, Stutsman, Towner, Ward, Wells, Williams)"
"Salix candida","sageleaf willow","ND(Barnes, Benson, Burke, Grand Forks, Griggs, Kidder, McHenry, Pembina, Richland, Stutsman)"
"Salix discolor","pussy willow","ND(Barnes, Benson, Bottineau, Burke, Cass, Divide, Dunn, Kidder, Mountrail, Oliver, Pembina, Pierce, Rolette, Steele)"
"Salix eriocephala","Missouri River willow","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Golden Valley, Grant, Griggs, McLean, Mercer, Morton, Mountrail, Pembina, Ransom, Richland, Sioux, Steele, Stutsman, Traill, Wells, Williams)"
"Salix humilis","prairie willow","ND(Barnes, Bottineau, Griggs, McHenry, McKenzie, McLean, Ransom, Richland, Rolette, Sioux)"
"Salix interior","sandbar willow","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Ward, Wells, Williams)"
"Salix lucida","shining willow","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Divide, Golden Valley, McKenzie, McLean, Mountrail, Oliver, Pembina, Renville, Rolette, Stutsman, Ward, Williams)"
"Salix lucida ssp. lucida","shining willow","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Divide, Golden Valley, McKenzie, McLean, Mountrail, Oliver, Pembina, Renville, Rolette, Stutsman, Ward, Williams)"
"Salix lutea","yellow willow","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sioux, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Salix pentandra","laurel willow","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Divide, Griggs, McHenry, Mountrail, Pembina, Ransom, Richland, Rolette, Steele, Towner, Ward, Williams)"
"Salix petiolaris","meadow willow","ND(Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Divide, Griggs, Kidder, McHenry, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Steele, Towner, Ward, Williams)"
"Salix serissima","autumn willow","ND(Barnes, Bottineau, Grant, Pembina, Ransom, Richland, Rolette, Stark)"
"Salsola","Russian thistle","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Grant, Kidder, Logan, McHenry, McKenzie, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Salsola collina","slender Russian thistle","ND(Barnes, Billings, Burleigh, Cass, Emmons, McHenry, Nelson, Pierce, Ramsey, Ransom, Richland, Sioux, Stark, Stutsman, Traill, Walsh)"
"Salsola tragus","prickly Russian thistle","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Grant, Kidder, Logan, McHenry, McKenzie, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Salvia","sage","ND(Barnes, Billings, Cass, Divide, Foster, Golden Valley, Grant, Logan, McLean, Morton, Ransom, Sargent, Slope, Stark, Williams)"
"Salvia ×sylvestris","woodland sage","ND(Cass, Logan, Slope)"
"Salvia reflexa","lanceleaf sage","ND(Barnes, Billings, Cass, Divide, Foster, Golden Valley, Grant, McLean, Morton, Ransom, Sargent, Slope, Stark, Williams)"
"Sambucus","elderberry","ND(Burleigh, Cass, Eddy, Grand Forks, Pembina, Richland, Stutsman, Walsh)"
"Sambucus nigra","black elderberry","ND(Burleigh, Cass, Eddy, Grand Forks, Pembina, Richland, Stutsman, Walsh)"
"Sambucus nigra ssp. canadensis","American black elderberry","ND(Burleigh, Cass, Eddy, Grand Forks, Pembina, Richland, Stutsman, Walsh)"
"Sambucus racemosa","red elderberry","ND(Richland, Walsh)"
"Sambucus racemosa var. racemosa","red elderberry","ND(Richland, Walsh)"
"Sanguinaria","bloodroot","ND(Cass, Ransom, Richland, Sargent)"
"Sanguinaria canadensis","bloodroot","ND(Cass, Ransom, Richland, Sargent)"
"Sanicula","sanicle","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Griggs, Hettinger, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
