"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Tripsacum dactyloides","eastern gamagrass","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Richmond, Rockbridge, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Westmoreland, York)"
"Trisetum","oatgrass","VA(Page)"
"Trisetum spicatum","spike trisetum","VA(Page)"
"Tristagma","springstar","VA(Chesapeake (city), Chesterfield, Goochland, Hampton (city), Henrico, Lancaster, Pittsylvania, Prince George, Suffolk (city))"
"Tristagma uniflorum","springstar","VA(Chesapeake (city), Chesterfield, Goochland, Hampton (city), Henrico, Lancaster, Pittsylvania, Prince George, Suffolk (city))"
"Triticum","wheat","VA(Warren)"
"Triticum aestivum","common wheat","VA(Warren)"
"Tsuga","hemlock","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Clarke, Craig, Culpeper, Cumberland, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Halifax, Hanover, Henry, Highland, King William, Lee, Loudoun, Louisa, Lunenburg, Madison, Montgomery, Nelson, Orange, Page, Patrick, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Tazewell, Warren, Washington, Wise, Wythe)"
"Tsuga canadensis","eastern hemlock","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Clarke, Craig, Culpeper, Cumberland, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Halifax, Hanover, Henry, Highland, King William, Lee, Loudoun, Louisa, Lunenburg, Madison, Montgomery, Nelson, Orange, Page, Patrick, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Tazewell, Warren, Washington, Wise, Wythe)"
"Tsuga caroliniana","Carolina hemlock","VA(Bedford, Botetourt, Carroll, Floyd, Franklin, Giles, Grayson, Halifax, Montgomery, Patrick, Pittsylvania, Pulaski, Roanoke, Rockbridge, Smyth, Tazewell, Washington, Wythe)"
"Tussilago","coltsfoot","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, Lancaster, Loudoun, Louisa, Madison, Mathews, Montgomery, Nelson, New Kent, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Surry, Tazewell, Warren, Washington, Wise, Wythe)"
"Tussilago farfara","coltsfoot","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, Lancaster, Loudoun, Louisa, Madison, Mathews, Montgomery, Nelson, New Kent, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Surry, Tazewell, Warren, Washington, Wise, Wythe)"
"Typha","cattail","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Typha ×glauca","hybrid cattail","VA(Accomack, Essex, Fairfax, Frederick, Gloucester, Middlesex, Prince George, Virginia Beach (city))"
"Typha angustifolia","narrowleaf cattail","VA(Accomack, Albemarle, Amelia, Augusta, Caroline, Chesapeake (city), Chesterfield, Culpeper, Dickenson, Essex, Fairfax, Franklin, Frederick, Giles, Gloucester, Hampton (city), Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Mathews, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Northumberland, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Stafford, Surry, Tazewell, Virginia Beach (city), Westmoreland, York)"
"Typha domingensis","southern cattail","VA(Essex, King and Queen, Prince William, Richmond, Stafford, Sussex, Virginia Beach (city), Westmoreland)"
"Typha latifolia","broadleaf cattail","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Ulex","gorse","VA(James City, York)"
"Ulex europaeus","common gorse","VA(James City, York)"
"Ulmus","elm","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Ulmus alata","winged elm","VA(Amelia, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesterfield, Cumberland, Dinwiddie, Fairfax, Fluvanna, Goochland, Greensville, Halifax, Hanover, Henrico, Isle of Wight, James City, King William, King and Queen, Lee, Lunenburg, Mecklenburg, New Kent, Northampton, Nottoway, Pittsylvania, Powhatan, Prince Edward, Prince George, Scott, Southampton, Suffolk (city), Surry, Sussex, Washington)"
"Ulmus americana","American elm","VA(Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe, York)"
"Ulmus parvifolia","Chinese elm","VA(Arlington, Fairfax, Fauquier, Frederick, King George, Prince William, Spotsylvania)"
"Ulmus procera","English elm","VA(Caroline, Scott)"
"Ulmus pumila","Siberian elm","VA(Arlington, Fairfax, Fauquier, Frederick, Orange, Rappahannock, Warren)"
"Ulmus rubra","slippery elm","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greene, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Westmoreland, Wise, York)"
"Uniola","seaoats","VA(Accomack, Chesapeake (city), Hampton (city), Northampton, Virginia Beach (city))"
"Uniola paniculata","seaoats","VA(Accomack, Chesapeake (city), Hampton (city), Northampton, Virginia Beach (city))"
"Urochloa","signalgrass","VA(Accomack, Greensville, Isle of Wight, Lunenburg, Northampton, Prince George, Suffolk (city))"
"Urochloa platyphylla","broadleaf signalgrass","VA(Isle of Wight, Suffolk (city))"
"Urochloa ramosa","browntop millet","VA(Greensville, Lunenburg, Northampton, Prince George)"
"Urochloa texana","Texas signalgrass","VA(Accomack, Northampton)"
"Urtica","nettle","VA(Albemarle, Amherst, Arlington, Augusta, Bedford, Botetourt, Buckingham, Campbell, Chesterfield, Clarke, Fairfax, Frederick, Giles, Highland, James City, Loudoun, Mathews, Montgomery, Page, Prince George, Prince William, Rockbridge, Scott, Shenandoah, Smyth, Southampton, Tazewell, Warren, Westmoreland, Wythe)"
"Urtica dioica","stinging nettle","VA(Albemarle, Amherst, Arlington, Augusta, Bedford, Botetourt, Buckingham, Campbell, Chesterfield, Clarke, Fairfax, Frederick, Giles, Highland, James City, Loudoun, Mathews, Montgomery, Page, Prince George, Prince William, Rockbridge, Scott, Shenandoah, Smyth, Southampton, Tazewell, Warren, Westmoreland, Wythe)"
"Urtica dioica ssp. gracilis","California nettle","VA(Albemarle)"
"Urtica urens","dwarf nettle","VA(Giles)"
"Utricularia","bladderwort","VA(Accomack, Amelia, Augusta, Brunswick, Buckingham, Caroline, Charles City, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Essex, Fairfax, Gloucester, Greensville, Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Louisa, Lunenburg, Mathews, Middlesex, New Kent, Newport News (city), Northampton, Page, Powhatan, Prince George, Rockingham, Shenandoah, Southampton, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Utricularia cornuta","horned bladderwort","VA(Accomack)"
"Utricularia geminiscapa","hiddenfruit bladderwort","VA(Augusta, Caroline, Charles City, Chesterfield, Dinwiddie, King and Queen, Sussex, Virginia Beach (city))"
"Utricularia gibba","humped bladderwort","VA(Accomack, Augusta, Brunswick, Buckingham, Caroline, Charles City, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Essex, Fairfax, Greensville, Hanover, Henrico, Isle of Wight, King George, King William, King and Queen, Lancaster, Louisa, Mathews, Middlesex, New Kent, Newport News (city), Page, Powhatan, Prince George, Rockingham, Shenandoah, Southampton, Stafford, Suffolk (city), Sussex, Virginia Beach (city), Westmoreland, York)"
"Utricularia inflata","swollen bladderwort","VA(Caroline, Chesapeake (city), Chesterfield, Dinwiddie, Gloucester, Greensville, Isle of Wight, King William, Prince George, Southampton, Suffolk (city), Sussex, Virginia Beach (city))"
"Utricularia juncea","southern bladderwort","VA(Accomack, Dinwiddie, James City, Northampton, Southampton, Suffolk (city), Sussex, Virginia Beach (city))"
"Utricularia macrorhiza","common bladderwort","VA(Caroline, Chesapeake (city), Fairfax, Greensville, King William, Southampton, Stafford, Suffolk (city), Surry, Westmoreland, York)"
"Utricularia olivacea","piedmont bladderwort","VA(James City)"
"Utricularia purpurea","eastern purple bladderwort","VA(Caroline, Chesapeake (city), Isle of Wight, Southampton, Sussex, Virginia Beach (city))"
"Utricularia radiata","little floating bladderwort","VA(Augusta, Caroline, Chesterfield, Dinwiddie, Isle of Wight, Northampton, Southampton, Sussex, York)"
"Utricularia subulata","zigzag bladderwort","VA(Accomack, Amelia, Augusta, Brunswick, Caroline, Chesterfield, Dinwiddie, Greensville, Henrico, Isle of Wight, King William, Louisa, Lunenburg, Northampton, Southampton, Suffolk (city), Sussex, Virginia Beach (city))"
"Uvularia","bellwort","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Uvularia grandiflora","largeflower bellwort","VA(Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Carroll, Craig, Floyd, Giles, Henry, Lee, Montgomery, Nelson, Patrick, Pulaski, Roanoke, Rockbridge, Russell, Scott, Smyth, Tazewell, Washington, Wise, Wythe)"
"Uvularia perfoliata","perfoliate bellwort","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Warren, Washington, Wise, Wythe)"
"Uvularia puberula","mountain bellwort","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Carroll, Clarke, Craig, Dinwiddie, Essex, Floyd, Franklin, Frederick, Giles, Grayson, Henry, Highland, Isle of Wight, Montgomery, Nelson, Page, Patrick, Pittsylvania, Prince George, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Suffolk (city), Tazewell, Washington, Wise, Wythe, York)"
"Uvularia sessilifolia","sessileleaf bellwort","VA(Albemarle, Amelia, Amherst, Appomattox, Augusta, Bedford, Bland, Botetourt, Brunswick, Buckingham, Caroline, Charlotte, Chesterfield, Clarke, Cumberland, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Greensville, Hanover, Henrico, Henry, Isle of Wight, King George, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northumberland, Nottoway, Orange, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Pulaski, Rockbridge, Russell, Scott, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren)"
