"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Triodanis","Venus' looking-glass","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Triodanis biflora","small Venus' looking-glass","SC(Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Cherokee, Chesterfield, Colleton, Darlington, Dillon, Edgefield, Hampton, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Richland, Saluda, Williamsburg)"
"Triodanis perfoliata","clasping Venus' looking-glass","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg, York)"
"Triosteum","horse-gentian","SC(Cherokee, Lancaster)"
"Triosteum perfoliatum","feverwort","SC(Cherokee, Lancaster)"
"Triphora","noddingcaps","SC(Pickens)"
"Triphora trianthophora","threebirds","SC(Pickens)"
"Triplasis","sandgrass","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Georgetown, Horry, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Orangeburg, Saluda, Sumter, Williamsburg)"
"Triplasis americana","perennial sandgrass","SC(Aiken, Allendale, Bamberg, Barnwell, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Jasper, Kershaw, Lexington, Marion, Marlboro, Orangeburg, Saluda, Sumter, Williamsburg)"
"Triplasis purpurea","purple sandgrass","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Clarendon, Dillon, Edgefield, Georgetown, Horry, Jasper, Lee, Lexington, Orangeburg, Sumter, Williamsburg)"
"Tripsacum","gamagrass","SC(Abbeville, Aiken, Allendale, Anderson, Beaufort, Charleston, Cherokee, Chester, Clarendon, Colleton, Edgefield, Fairfield, Greenwood, Hampton, Lancaster, Laurens, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Tripsacum dactyloides","eastern gamagrass","SC(Abbeville, Aiken, Allendale, Anderson, Beaufort, Charleston, Cherokee, Chester, Clarendon, Colleton, Edgefield, Fairfield, Greenwood, Hampton, Lancaster, Laurens, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Tristagma","springstar","SC(Abbeville, Newberry, Williamsburg)"
"Tristagma uniflorum","springstar","SC(Abbeville, Newberry, Williamsburg)"
"Triticum","wheat","SC(Calhoun, Chester, Fairfield, Kershaw, Lexington)"
"Triticum aestivum","common wheat","SC(Calhoun, Chester, Fairfield, Kershaw, Lexington)"
"Tsuga","hemlock","SC(Greenville, Oconee, Pickens)"
"Tsuga canadensis","eastern hemlock","SC(Greenville, Oconee, Pickens)"
"Tsuga caroliniana","Carolina hemlock","SC(Greenville, Oconee, Pickens)"
"Typha","cattail","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Chester, Chesterfield, Clarendon, Colleton, Dillon, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Newberry, Orangeburg, Richland, Spartanburg, Sumter, Union)"
"Typha angustifolia","narrowleaf cattail","SC(Charleston, Georgetown, Lexington)"
"Typha domingensis","southern cattail","SC(Beaufort, Colleton, Jasper)"
"Typha latifolia","broadleaf cattail","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Chester, Chesterfield, Clarendon, Colleton, Dillon, Edgefield, Fairfield, Florence, Hampton, Horry, Jasper, Lancaster, Laurens, Lee, Marlboro, McCormick, Newberry, Orangeburg, Richland, Spartanburg, Sumter, Union)"
"Ulmus","elm","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Darlington, Dillon, Dorchester, Fairfield, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, York)"
"Ulmus alata","winged elm","SC(Aiken, Allendale, Anderson, Barnwell, Berkeley, Charleston, Cherokee, Chester, Darlington, Dillon, Dorchester, Fairfield, Horry, Jasper, Kershaw, Lancaster, Laurens, Oconee, Pickens, Richland, Spartanburg, Union, York)"
"Ulmus americana","American elm","SC(Aiken, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Darlington, Dillon, Dorchester, Georgetown, Hampton, Horry, Lancaster, McCormick, Newberry, Orangeburg, Richland, York)"
"Ulmus rubra","slippery elm","SC(Aiken, Cherokee, Lancaster, Oconee, York)"
"Uniola","seaoats","SC(Beaufort, Charleston, Georgetown, Horry)"
"Uniola paniculata","seaoats","SC(Beaufort, Charleston, Georgetown, Horry)"
"Urochloa","signalgrass","SC(Aiken, Beaufort, Charleston, Dillon, Hampton, Orangeburg, Richland, Saluda, Sumter)"
"Urochloa mutica","para grass","SC(Aiken)"
"Urochloa platyphylla","broadleaf signalgrass","SC(Beaufort, Dillon, Richland, Sumter)"
"Urochloa ramosa","browntop millet","SC(Hampton, Orangeburg, Saluda)"
"Urochloa texana","Texas signalgrass","SC(Charleston, Orangeburg)"
"Urtica","nettle","SC(Beaufort, McCormick)"
"Urtica chamaedryoides","heartleaf nettle","SC(McCormick)"
"Urtica urens","dwarf nettle","SC(Beaufort)"
"Utricularia","bladderwort","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Utricularia cornuta","horned bladderwort","SC(Bamberg, Lancaster, Pickens)"
"Utricularia gibba","humped bladderwort","SC(Aiken, Barnwell, Beaufort, Charleston, Chesterfield, Darlington, Dorchester, Hampton, Jasper, Kershaw, Lee, Lexington, Richland, Saluda)"
"Utricularia inflata","swollen bladderwort","SC(Aiken, Allendale, Barnwell, Charleston, Colleton, Darlington, Dillon, Hampton, Jasper, Marion, Richland, Sumter, Williamsburg)"
"Utricularia juncea","southern bladderwort","SC(Colleton, Darlington, Georgetown, Kershaw, Lexington, Marlboro)"
"Utricularia olivacea","piedmont bladderwort","SC(Barnwell)"
"Utricularia purpurea","eastern purple bladderwort","SC(Aiken, Barnwell, Charleston, Kershaw, Lee, Orangeburg)"
"Utricularia radiata","little floating bladderwort","SC(Clarendon, Marlboro, Orangeburg)"
"Utricularia striata","striped bladderwort","SC(Aiken, Barnwell, Charleston, Chesterfield, Darlington, Kershaw, Lee, Lexington)"
"Utricularia subulata","zigzag bladderwort","SC(Aiken, Allendale, Charleston, Clarendon, Colleton, Darlington, Dillon, Florence, Hampton, Horry, Jasper, Lexington, Orangeburg)"
"Uvularia","bellwort","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dorchester, Fairfield, Georgetown, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Uvularia floridana","Florida bellwort","SC(Barnwell, Berkeley, Calhoun, Charleston, Dorchester)"
"Uvularia perfoliata","perfoliate bellwort","SC(Abbeville, Aiken, Anderson, Bamberg, Calhoun, Cherokee, Chester, Darlington, Dorchester, Fairfield, Georgetown, Greenville, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Uvularia puberula","mountain bellwort","SC(Aiken, Allendale, Barnwell, Cherokee, Chesterfield, Darlington, Greenville, Horry, Lexington, Pickens, Richland)"
"Uvularia sessilifolia","sessileleaf bellwort","SC(Aiken, Greenwood, Kershaw, Lancaster, McCormick, Pickens, Richland, Saluda, York)"
"Vaccaria","soapwort","SC(Anderson)"
"Vaccaria hispanica","cow soapwort","SC(Anderson)"
"Vaccinium","blueberry","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Vaccinium arboreum","farkleberry","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg)"
"Vaccinium corymbosum","highbush blueberry","SC(Aiken, Barnwell, Berkeley, Calhoun, Charleston, Colleton, Darlington, Dillon, Dorchester, Georgetown, Hampton, Horry, Lee, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Sumter, Williamsburg)"
"Vaccinium crassifolium","creeping blueberry","SC(Berkeley, Charleston, Chesterfield, Darlington, Dillon, Georgetown, Horry, Lexington, Williamsburg)"
"Vaccinium elliottii","Elliott's blueberry","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, McCormick, Newberry, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Vaccinium fuscatum","black highbush blueberry","SC(Aiken, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Greenville, Horry, Jasper, Lancaster, Lee, Marion, Marlboro, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Williamsburg)"
"Vaccinium myrsinites","shiny blueberry","SC(Jasper)"
"Vaccinium pallidum","Blue Ridge blueberry","SC(Abbeville, Aiken, Anderson, Cherokee, Chester, Chesterfield, Darlington, Dorchester, Edgefield, Fairfield, Kershaw, Lancaster, Lexington, Oconee, Pickens, Spartanburg, York)"
"Vaccinium stamineum","deerberry","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Lancaster, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg)"
"Vaccinium tenellum","small black blueberry","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Vaccinium virgatum","smallflower blueberry","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Clarendon, Colleton, Dorchester, Florence, Hampton, Horry, Kershaw, Lexington, McCormick, Orangeburg, Richland, Sumter, Williamsburg)"
"Valerianella","cornsalad","SC(Aiken, Charleston, Cherokee, Chester, Chesterfield, Colleton, Edgefield, Georgetown, Greenwood, Laurens, Lexington, McCormick, Newberry, Oconee, Saluda, Spartanburg, Sumter, York)"
"Valerianella locusta","Lewiston cornsalad","SC(Cherokee, Laurens, Spartanburg, York)"
"Valerianella radiata","beaked cornsalad","SC(Aiken, Charleston, Chester, Chesterfield, Colleton, Edgefield, Georgetown, Greenwood, Lexington, McCormick, Newberry, Oconee, Saluda, Spartanburg, Sumter)"
"Vallisneria","eelgrass","SC(Richland)"
"Vallisneria americana","American eelgrass","SC(Richland)"
"Veratrum","false hellebore","SC(Abbeville, Aiken, Calhoun, Georgetown, Greenville, Lancaster, Oconee, Pickens)"
"Veratrum hybridum","slender bunchflower","SC(Abbeville, Aiken, Greenville, Lancaster, Pickens)"
"Veratrum parviflorum","Appalachian bunchflower","SC(Oconee, Pickens)"
"Veratrum virginicum","Virginia bunchflower","SC(Calhoun, Georgetown)"
"Verbascum","mullein","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg, York)"
"Verbascum blattaria","moth mullein","SC(Aiken, Anderson, Cherokee, Chester, Darlington, Dorchester, Fairfield, Greenwood, Kershaw, Oconee, Spartanburg, Union, Williamsburg, York)"
"Verbascum phlomoides","orange mullein","SC(Marion)"
"Verbascum thapsus","common mullein","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Lancaster, Laurens, Marion, McCormick, Newberry, Oconee, Pickens, Richland, Sumter, Union, Williamsburg)"
"Verbascum virgatum","wand mullein","SC(Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Orangeburg)"
"Verbena","vervain","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Union, Williamsburg, York)"
"Verbena bonariensis","purpletop vervain","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chester, Colleton, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenville, Lee, Marion, Marlboro, McCormick, Newberry, Orangeburg, Richland, Williamsburg)"
"Verbena brasiliensis","Brazilian vervain","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Cherokee, Chester, Clarendon, Dillon, Edgefield, Florence, Greenwood, Hampton, Horry, Jasper, Lancaster, Lee, Lexington, Marion, Marlboro, Newberry, Orangeburg, Richland, Sumter, Union, Williamsburg)"
"Verbena halei","Texas vervain","SC(Aiken, Sumter)"
"Verbena officinalis","herb of the cross","SC(Darlington)"
"Verbena officinalis var. officinalis","herb of the cross","SC(Darlington)"
"Verbena rigida","tuberous vervain","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Charleston, Clarendon, Colleton, Dorchester, Fairfield, Horry, Marion, Newberry, Richland, Saluda, Sumter)"
"Verbena scabra","sandpaper vervain","SC(Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Horry, Jasper)"
"Verbena simplex","narrowleaf vervain","SC(Union, York)"
"Verbena urticifolia","white vervain","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Cherokee, Clarendon, Darlington, Dorchester, Florence, Greenwood, Lancaster, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Saluda, Sumter, Union, York)"
"Verbesina","crownbeard","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Verbesina alternifolia","wingstem","SC(Anderson, Cherokee, McCormick, Oconee, Union, York)"
"Verbesina encelioides","golden crownbeard","SC(Calhoun, Dillon, Florence, Kershaw, Marion, Sumter, Williamsburg)"
"Verbesina encelioides ssp. encelioides","golden crownbeard","SC(Calhoun, Dillon, Florence, Kershaw, Marion, Sumter, Williamsburg)"
"Verbesina occidentalis","yellow crownbeard","SC(Abbeville, Aiken, Anderson, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Dorchester, Edgefield, Fairfield, Georgetown, Greenwood, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Verbesina virginica","white crownbeard","SC(Abbeville, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Clarendon, Greenwood, Kershaw, Lancaster, Lexington, Oconee, Pickens, Spartanburg, York)"
"Verbesina virginica var. laciniata","white crownbeard","SC(Beaufort, Charleston)"
"Verbesina virginica var. virginica","white crownbeard","SC(Abbeville, Allendale, Anderson, Barnwell, Berkeley, Calhoun, Cherokee, Clarendon, Greenwood, Kershaw, Lancaster, Lexington, Oconee, Pickens, Spartanburg, York)"
"Verbesina walteri","Carolina crownbeard","SC(Aiken, Allendale, Beaufort, Charleston, Dorchester)"
"Vernonia","ironweed","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Vernonia ×georgiana","ironweed","SC(Charleston, Darlington, Kershaw, Sumter)"
"Vernonia acaulis","stemless ironweed","SC(Abbeville, Anderson, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Horry, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Richland, Saluda, York)"
"Vernonia angustifolia","tall ironweed","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Vernonia angustifolia ssp. angustifolia","tall ironweed","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Horry, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Vernonia angustifolia ssp. scaberrima","tall ironweed","SC(Beaufort, Charleston, Hampton, Jasper, Marion)"
"Vernonia gigantea","giant ironweed","SC(Aiken, Allendale, Edgefield, Hampton)"
"Vernonia gigantea ssp. gigantea","giant ironweed","SC(Aiken, Allendale, Edgefield, Hampton)"
"Vernonia glauca","broadleaf ironweed","SC(Abbeville, Cherokee, Darlington, Fairfield, Kershaw, Marion, McCormick, Oconee, Pickens, York)"
