"","",""
"Abelia","abelia","FL(Franklin)"
"Verbena brasiliensis","Brazilian vervain","FL(Alachua, Baker, Bradford, Calhoun, Citrus, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Madison, Marion, Miami-Dade, Monroe, Nassau, Okaloosa, Osceola, Pasco, Pinellas, Santa Rosa, St. Johns, Taylor, Union, Volusia, Walton, Washington)"
"Verbena halei","Texas vervain","FL(Alachua, Bay, Citrus, Clay, Columbia, Duval, Flagler, Franklin, Hernando, Holmes, Jackson, Lake, Leon, Levy, Madison, Marion, Nassau, Okaloosa, Pasco, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton)"
"Verbena incompta","purpletop vervain","FL(Alachua, Bradford, Calhoun, Clay, Collier, Columbia, DeSoto, Escambia, Flagler, Franklin, Gadsden, Jefferson, Leon, Madison, Marion, Miami-Dade, Nassau, Okaloosa, Pinellas, Seminole, St. Johns, Wakulla, Walton)"
"Verbena litoralis","seashore vervain","FL(Miami-Dade)"
"Verbena officinalis","herb of the cross","FL(Escambia)"
"Verbena officinalis var. officinalis","herb of the cross","FL(Escambia)"
"Verbena rigida","tuberous vervain","FL(Alachua, Bay, Calhoun, Escambia, Jackson, Leon, Walton)"
"Verbena scabra","sandpaper vervain","FL(Alachua, Baker, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla)"
"Verbena simplex","narrowleaf vervain","FL(Jackson)"
"Verbena urticifolia","white vervain","FL(Gadsden, Leon, Wakulla)"
"Verbesina","crownbeard","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Taylor, Volusia, Wakulla, Walton, Washington)"
"Verbesina alternifolia","wingstem","FL(Gadsden, Jackson, Liberty)"
"Verbesina aristata","coastal plain crownbeard","FL(Alachua, Columbia, Holmes, Jefferson, Leon, Okaloosa, Santa Rosa, Walton)"
"Verbesina chapmanii","Chapman's crownbeard","FL(Bay, Calhoun, Franklin, Gulf, Liberty, Walton, Washington)"
"Verbesina encelioides","golden crownbeard","FL(Gadsden, Lake, Monroe, Orange, Pinellas, Polk)"
"Verbesina encelioides ssp. encelioides","golden crownbeard","FL(Gadsden, Lake, Monroe, Orange, Pinellas, Polk)"
"Verbesina heterophylla","diverseleaf crownbeard","FL(Alachua, Baker, Bradford, Clay, Duval, Putnam, St. Johns, Volusia)"
"Verbesina occidentalis","yellow crownbeard","FL(Calhoun, Escambia, Franklin, Jackson, Liberty, Walton)"
"Verbesina virginica","white crownbeard","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, Sumter, Taylor, Volusia, Wakulla, Walton)"
"Vernicia","vernicia","FL(Alachua, Citrus, Escambia, Franklin, Gadsden, Jefferson, Leon, Okaloosa, Santa Rosa, Suwannee, Walton)"
"Vernicia fordii","tungoil tree","FL(Alachua, Citrus, Escambia, Franklin, Gadsden, Jefferson, Leon, Okaloosa, Santa Rosa, Suwannee, Walton)"
"Vernonia","ironweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vernonia ×concinna","ironweed","FL(Gadsden, Leon)"
"Vernonia angustifolia","tall ironweed","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hernando, Highlands, Hillsborough, Jackson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Pasco, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vernonia angustifolia ssp. mohrii","Mohr's ironweed","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hernando, Highlands, Hillsborough, Jackson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Pasco, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vernonia blodgettii","Florida ironweed","FL(Broward, Charlotte, Collier, Hendry, Indian River, Lee, Martin, Miami-Dade, Monroe, Palm Beach)"
"Vernonia gigantea","giant ironweed","FL(Alachua, Brevard, Calhoun, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia)"
"Vernonia missurica","Missouri ironweed","FL(Calhoun, Escambia, Holmes, Leon, Okaloosa, Santa Rosa, Walton)"
"Vernonia noveboracensis","New York ironweed","FL(Calhoun, Clay, Jackson, Jefferson, Liberty, Nassau, Putnam)"
"Veronica","speedwell","FL(Alachua, Citrus, Duval, Escambia, Franklin, Gadsden, Gulf, Hamilton, Hernando, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Marion, Miami-Dade, Okaloosa, Orange, Pinellas, Santa Rosa, Seminole, Suwannee, Volusia, Wakulla, Walton)"
"Veronica agrestis","green field speedwell","FL(Franklin, Leon)"
"Veronica anagallis-aquatica","water speedwell","FL(Volusia)"
"Veronica arvensis","corn speedwell","FL(Alachua, Franklin, Gadsden, Hernando, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Orange, Suwannee, Walton)"
"Veronica hederifolia","ivyleaf speedwell","FL(Escambia)"
"Veronica peregrina","neckweed","FL(Alachua, Citrus, Duval, Escambia, Franklin, Gadsden, Gulf, Hamilton, Jackson, Jefferson, Lake, Leon, Levy, Marion, Miami-Dade, Pinellas, Santa Rosa, Seminole, Suwannee, Volusia, Wakulla, Walton)"
"Veronica persica","birdeye speedwell","FL(Jefferson, Leon, Marion)"
"Veronica polita","gray field speedwell","FL(Escambia, Leon)"
"Veronicastrum","veronicastrum","FL(Escambia)"
"Veronicastrum virginicum","Culver's root","FL(Escambia)"
"Viburnum","viburnum","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Monroe, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Viburnum acerifolium","mapleleaf viburnum","FL(Escambia, Gadsden, Jackson, Liberty, Walton, Washington)"
"Viburnum dentatum","southern arrowwood","FL(Alachua, Bay, Calhoun, Clay, Dixie, Duval, Escambia, Franklin, Gadsden, Gulf, Hamilton, Hernando, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Okaloosa, Santa Rosa, St. Johns, Taylor, Volusia, Wakulla, Walton, Washington)"
"Viburnum dentatum var. dentatum","southern arrowwood","FL(Alachua, Bay, Calhoun, Clay, Dixie, Duval, Escambia, Franklin, Gadsden, Gulf, Hamilton, Hernando, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Okaloosa, Santa Rosa, St. Johns, Taylor, Volusia, Wakulla, Walton, Washington)"
"Viburnum nudum","possumhaw","FL(Alachua, Baker, Bay, Calhoun, Clay, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Liberty, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Polk, Putnam, Santa Rosa, St. Johns, Union, Wakulla, Walton, Washington)"
"Viburnum nudum var. nudum","possumhaw","FL(Alachua, Baker, Bay, Calhoun, Clay, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Liberty, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Polk, Putnam, Santa Rosa, St. Johns, Union, Wakulla, Walton, Washington)"
"Viburnum obovatum","small-leaf arrowwood","FL(Alachua, Baker, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Flagler, Gadsden, Gilchrist, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Monroe, Nassau, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Viburnum rufidulum","rusty blackhaw","FL(Alachua, Calhoun, Citrus, Columbia, Escambia, Gadsden, Hamilton, Hernando, Jackson, Leon, Levy, Liberty, Marion, Okaloosa, Santa Rosa, Suwannee, Wakulla, Walton, Washington)"
"Vicia","vetch","FL(Alachua, Bay, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton)"
"Vicia acutifolia","fourleaf vetch","FL(Alachua, Bradford, Brevard, Broward, Charlotte, Citrus, Collier, DeSoto, Dixie, Duval, Flagler, Franklin, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla)"
"Vicia caroliniana","Carolina vetch","FL(Jackson)"
"Vicia floridana","Florida vetch","FL(Alachua, Citrus, Clay, DeSoto, Dixie, Duval, Flagler, Franklin, Gadsden, Hardee, Hendry, Hernando, Lafayette, Lake, Levy, Marion, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia)"
"Vicia grandiflora","large yellow vetch","FL(Gadsden, Jefferson, Liberty)"
"Vicia hirsuta","tiny vetch","FL(Alachua, Bay, Escambia, Jefferson, Leon, Walton)"
"Vicia ludoviciana","Louisiana vetch","FL(Escambia, Levy)"
"Vicia ludoviciana ssp. ludoviciana","Louisiana vetch","FL(Escambia, Levy)"
"Vicia minutiflora","pygmyflower vetch","FL(Gadsden, Jackson, Liberty)"
"Vicia ocalensis","Ocala vetch","FL(Lake, Marion)"
"Vicia sativa","garden vetch","FL(Alachua, Columbia, Duval, Escambia, Franklin, Hernando, Jackson, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Putnam, Union, Wakulla, Walton)"
"Vicia sativa ssp. nigra","garden vetch","FL(Alachua, Duval, Escambia, Franklin, Hernando, Jackson, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Putnam, Union, Wakulla, Walton)"
"Vicia tetrasperma","lentil vetch","FL(Duval, Escambia, Franklin, Gadsden, Jefferson, Leon, Liberty, Okaloosa)"
"Vicia villosa","winter vetch","FL(Alachua, Escambia, Franklin, Gadsden, Hamilton, Jackson, Jefferson, Leon, Putnam, Santa Rosa)"
"Vigna","cowpea","FL(Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, DeSoto, Duval, Escambia, Flagler, Franklin, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Leon, Levy, Manatee, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Volusia)"
"Vigna adenantha","wild pea","FL(Miami-Dade, Palm Beach)"
"Vigna hosei","Sarawak bean","FL(Miami-Dade)"
"Vigna luteola","hairypod cowpea","FL(Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, DeSoto, Duval, Escambia, Flagler, Franklin, Glades, Hendry, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Volusia)"
"Vigna speciosa","wondering cowpea","FL(Hardee, Hernando, Miami-Dade, Pasco, Pinellas, Polk)"
"Vigna unguiculata","cowpea","FL(Citrus, Lee, Leon, Palm Beach, Polk)"
"Vinca","periwinkle","FL(Escambia)"
"Vinca minor","common periwinkle","FL(Escambia)"
"Viola","violet","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Viola ×palmata","early blue violet","FL(Marion)"
"Viola ×primulifolia","","FL(Alachua, Charlotte, Citrus, Clay, Collier, Columbia, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Taylor, Volusia, Walton, Washington)"
"Viola bicolor","field pansy","FL(Calhoun, Escambia, Jackson, Santa Rosa, Walton)"
"Viola hastata","halberdleaf yellow violet","FL(Gadsden)"
"Viola hirsutula","southern woodland violet","FL(Alachua, Jackson)"
"Viola labradorica","alpine violet","FL(Leon)"
"Viola lanceolata","bog white violet","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Glades, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Viola sororia","common blue violet","FL(Alachua, Brevard, Calhoun, Citrus, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Viola tricolor","johnny jumpup","FL(Franklin, Santa Rosa)"
"Viola triloba","three-lobe violet","FL(Alachua, Baker, Charlotte, Citrus, Clay, Columbia, DeSoto, Duval, Escambia, Flagler, Gilchrist, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Nassau, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Suwannee, Union, Volusia, Wakulla, Walton, Washington)"
"Viola tripartita","threepart violet","FL(Gadsden, Liberty)"
"Viola villosa","Carolina violet","FL(Alachua, Clay, Columbia, Hamilton, Hernando, Levy, Marion, Suwannee)"
"Viola walteri","prostrate blue violet","FL(Alachua, Citrus, Columbia, Gadsden, Gilchrist, Jackson, Jefferson, Leon, Liberty, Wakulla)"
"Vitex","chastetree","FL(Alachua, Brevard, Broward, Charlotte, Collier, Franklin, Gadsden, Hernando, Indian River, Jackson, Lake, Lee, Miami-Dade, Monroe, Palm Beach, Pinellas, Volusia)"
"Vitex agnus-castus","lilac chastetree","FL(Alachua, Collier, Franklin, Gadsden, Jackson)"
"Vitex agnus-castus var. agnus-castus","lilac chastetree","FL(Alachua, Collier, Franklin, Gadsden, Jackson)"
"Vitex glabrata","smooth chastetree","FL(Miami-Dade)"
"Vitex negundo","Chinese chastetree","FL(Hernando)"
"Vitex trifolia","simpleleaf chastetree","FL(Brevard, Broward, Charlotte, Indian River, Lake, Lee, Miami-Dade, Monroe, Palm Beach, Pinellas, Volusia)"
"Vitex trifolia var. subtrisecta","simpleleaf chastetree","FL(Brevard, Broward, Charlotte, Indian River, Lake, Lee, Miami-Dade, Monroe, Palm Beach, Pinellas, Volusia)"
"Vitis","grape","FL(Alachua, Baker, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Vitis aestivalis","summer grape","FL(Alachua, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Flagler, Franklin, Gilchrist, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Vitis aestivalis var. aestivalis","summer grape","FL(Alachua, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Flagler, Franklin, Gilchrist, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Vitis cinerea","graybark grape","FL(Alachua, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Franklin, Gadsden, Gulf, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lafayette, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Osceola, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Washington)"
"Vitis cinerea var. floridana","Florida grape","FL(Alachua, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Franklin, Gadsden, Gulf, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lafayette, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okeechobee, Osceola, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Washington)"
"Vitis palmata","catbird grape","FL(Calhoun, Gadsden, Jackson, Santa Rosa, Suwannee)"
"Vitis rotundifolia","muscadine","FL(Alachua, Baker, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton)"
"Vitis shuttleworthii","calloose grape","FL(Brevard, Broward, Citrus, Collier, DeSoto, Flagler, Glades, Hardee, Hernando, Highlands, Hillsborough, Indian River, Lee, Manatee, Marion, Martin, Miami-Dade, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Volusia)"
